Title,Service,Locations,Description,Features,Awards
Alcon Novartis Dining Facility,Architecture/Interior Design/LINE,Dallas,"A typical dining facility backs the kitchen area to one side of the building, but Novartis asked for a centralized kitchen with dining areas that wrap around it. That way diners can enjoy the view through the glass walls from every angle and employees in the surrounding buildings have a view inside. The transparent building makes the centrally-located facility appealing from all angles, but glass walls pose challenges to managing the thermal and visual effects of sunlight.
HKS’ design enables 270 degrees of dining areas on the perimeter of the building's interior and includes various seating layouts to promote meetings of all sizes. The centralized kitchen is separated from infrastructure used by other elements, like bathrooms, to stretch the dining area.
Managing the sun's effect couldn’t be done the same way on all sides of the building. The south side of the building has a protruding shade, angled upward, that has been precisely shaped to block just enough sunlight at specific times of the day. The north side's glass face is affixed with vertical blades of laminated glass that are carefully spaced to provide shade while preserving the view in and out of the building.
Nearly 500 researchers who study various aspects of medical technologies now have a place to congregate. These shared spaces are vital for science facilities because research is becoming more interdisciplinary — a specialist in one lab could have the solution to a problem that scientists are grappling with in another.
The 21,000 square foot space amplifies collaboration opportunities between the administration and research areas of the private campus, promoting spontaneous conversation between scientists, technicians and researchers.",,
"San Francisco International Airport's Harvey Milk Terminal 1, Boarding Area B",Architecture/Alternative Project Delivery/Sustainable Design,San Francisco/Dallas,"To deliver SFO's Boarding Area B, HKS became fully immersed in the airport&#8217;s paradigm for Exceptional Project Outcomes (EOP) which encompassed all project aspects with a focused passion on design, project management, construction, economics, business and sustainability. All joint venture partners committed to a multi-year collaboration in the ‘Big Room’ with the architects, Design-Build teams, core trades, program managers and airport leadership and staff. Key design challenges included defining the program and footprint for the new boarding area while keeping the existing terminal and airfield operational with minimal disruption; delivering a new level of service and standards; incorporating the latest technology, industry trends and aviation processing to future-proof the facility; and fulfilling the airport's ambitious sustainable and healthy building outcome goals.
Focusing on the passenger experience, the design creates a calm and curated journey: a generous central concourse features intuitive wayfinding, advanced acoustics and lighting, art galleries, comfortable furnishings and plentiful amenities and food halls offering Bay Area fare. Radiant heating and cooling, dynamic glazing and 5-filter carbon air filtration systems create a comfortable ambience while meeting SFO's healthy building and sustainability goals.
The project design evokes a ‘Bay Area Naturalism’ theme supported by natural materials and colors that underscore the region's environment. New technologies, improved functionality and operations were key design drivers. This project initiates SFO's vision – incorporating next generation building systems, aviation trends and setting innovation standards – for the entire airport. Despite the complexities of upgrading to new systems, SFO will reap long-term benefits of operating common use gates, building management systems, North America's first ICS baggage handling system and all-electric shared-use ramp service vehicles.
SFO&#8217;s Boarding Area B embodies future-forward design, creating a positive passenger experience unique to San Francisco while providing efficient, smart and sustainable facilities for the airlines and SFO alike. SFO has achieved some notable “firsts,” including operating the first ICS baggage handling system in North America. It is the first common use terminal at SFO and provides the first gender neutral restroom facilities at the airport. The project will achieve USGBC LEED Gold certification, and it has LEED Platinum-ready and Net Zero energy-ready installations in place. The project will also achieve a 50% Energy Use Intensity (EUI) reduction. HKS delivered this complex and multifaceted project on-time and on-budget.",,
Jajalpa Office Park,Architecture,Dallas/Mexico City,"To create a unique commercial office park that stands out from other offerings around Mexico City.
Defined by surrounding green spaces and water features, a manicured park serves as the building's main entrance and offices will look out over the tree tops and toward the nearby mountains. More than 80 percent of the building's materials are sourced from local suppliers and 90 percent of the water is reused on-site for irrigation and other needs. A concrete and glass skybridge will connect the first phase of Jajalpa to the office park's future buildings. The building's location, efficient floor plan and commercial services differentiate it from other real estate offerings throughout the Mexico City region. A feature staircase encourages users to be more active while also providing illumination for the park at night. The park, dining and retail amenities encourage community engagement, while also providing space for local commerce to develop.
Jajalpa Office Park is a low-impact, commercial building that offers quality experiences for the user through its design, which combines natural lighting, ventilation, green and open spaces, and sustainability. Expected to open in 2019, the project is seeking LEED Gold certification and its concept makes it one of a kind in the Mexico City area.","12.8 acres
139,931 square feet
381-car below-grade parking
Seeking LEED Gold certification
Heliport",
Hartsfield Jackson Atlanta International Airport,Architecture/Interior Design/Branded Experiences,Dallas/Atlanta/Miami,"To update and modernize a busy hub airport to increase comfort and amenities for more than 100 million passengers each year, without interrupting airport and airline operations.
ATL's Airside Modernization program refreshes and reconfigures 120 existing passenger holdrooms on four concourses, redesigns the central retail nodes, and renovates the underground pedestrian connections and automated train stations. New holdroom ceilings slope upward to embrace a curtainwall system that doubles the previous amount of perimeter glazing, creating light and airy interior volumes with clear views to the active tarmac. Natural daylighting floods the passenger waiting and boarding spaces all the way to the central circulation corridors, which also boast new ceilings, fresh finishes, modern lighting and a clear pathway to updated amenities, including retail, food and beverage. The project&#8217;s phased construction occurred after hours and involved just four gates at a time to allow continuous, rapid progress while keeping all gates fully operational for the project's duration.
The Airside Modernization Program is part of ATLNext, a 10-year, $6-billion capital improvement program designed to benefit travelers, the city of Atlanta and airline operators well into the 21st century. The Airside Modernization program impacts the passengers in areas where they spend the most time, dramatically improving the travel experience on the concourses of ATL, the world's busiest passenger airport.","1,200,000 square foot interior modernization of concourses A, B, C and T
New exterior cladding system allowing increased daylight and views
Fresh new materials palette for ceilings, floors, lighting and seating
Improvements to the automated ground transit system stations
Improvements to the below-grade transportation mall",
MedStar Georgetown University Hospital Medical-Surgical Pavilion,Architecture/Interior Design/Urban Design/Sustainable Design/Advisory Services/Research,"Washington, D.C./Richmond/Dallas","HKS designers were challenged to modernize MedStar Georgetown University Hospital to better serve a growing and aging population in Washington, D.C.
The new Surgical Pavilion building is a six-story tower connected the main MedStar Georgetown University Hospital at the ground, first and fourth floor levels. With 32 exam rooms, the hospital's emergency department will be greatly expanded to serve more than 36,000 patients who use the hospital as their primary source of medical care and treatment. The new building allows for the reorganization of the main hospital to improve patient access, orientation and circulation.
The MedStar Georgetown University Hospital (MGUH) Medical-Surgical Pavilion will transform the north entry to the historic campus. The project represents the culmination of years of strategic planning, operational planning, design strategies and an integrated team approach to the implementation of the largest health care project in the history of the District of Columbia. The new building, which is targeting LEED Silver certification, brings MGUH up to current standards for size of the operating rooms and the Emergency Department will double in size for enhanced patient service.","487,400 square foot
Six stories
Adjacent inpatient imaging department renovation
156 universal ICU and IMC patient rooms
31-OR surgery suite, including Hybrid OR and 2 iMRI
32-bay emergency department
600-car, below-grade parking garage
Seeking LEED Silver certification",
The Village Town Center,Mixed-Use/Architecture/Urban Design,Dallas/San Francisco,"Originally completed in 1968, designers looked to refresh The Village Town Center residential development in contemporary style, providing modern amenities in a new resort-style setting.
The new 30-acre mixed-use development locates new buildings around a lush and well-manicured great lawn/event-space. New lofts, apartments and the Main Street commercial core frame the central public space while walkability within The Village core continues the community's well-known active and vibrant lifestyle. Spaces supporting social gatherings of various sizes within the resort setting encourage and accommodate numerous ways to recreate and unwind. The architectural language of The Village Town Center is characterized by a warm and modern aesthetic. Clean lines and organizing geometries extend into the landscape and place an emphasis on the tactile qualities and relationships of the building materials themselves. The massing strategy for the project emphasizes the concept of interlocking volumes, derived from an understanding of the local geology. Clusters of beautiful mature Live Oaks were meticulously preserved during the planning stages, with the new buildings carefully planned in and around them
People are drawn to the natural setting at The Village — an urban oasis situated within the greater Dallas Metroplex — and it is Dallas’ largest rental community with 11,000 residents living in 16 neighborhoods.<br />
Accentuating existing landscape features, including tree groves, clearings, meandering paths, lakes, pools, and water features while integrating new construction creates social energy through a unique combination of amenities to promote a heightened sense of place and encourages an outside-in lifestyle. The refurbished residential complex is scheduled for completion in 2020.","1.1 million square feet
330 residential units
32-key boutique hotel
Commercial street with market, six dining venues, retail, office space
1,200-car, five-level, below-grade parking
Private fitness center and resident’s club
Putting green, soccer and softball/baseball fields, community parks and urban plazas",
Taikang Tongji International Hospital,Architecture/Interior Design/Urban Design,Shanghai/Atlanta/Dallas,"Create a 21st century health care destination that will attract the best surgeons and genetic researchers and enhance the hospital's goal of becoming a multi-functional neighborhood amenity.
The design offers fluid pedestrian access through the site along with public amenities that will engage local communities and the adjacent neighborhoods when it opens in 2019.  It appropriates the aesthetic and purpose of Wuhan's magnificent bridges to highlight movement through the hospital and clinics while improving flow and efficiency of operations. The layout follows a pinwheel pattern that radiates from a central core, maximizing views to the south and arranging the towers so that they can be distinctly phased. Clinics are oriented toward an internal court to enable easy access and encourage the public to be proactive about their health care.
The arrangement of the towers allows them to be built in different phases and is reminiscent of the sails of docked ships, representing Wuhan as a port city. When open, the project will be Taikang Health's first large-scale facility for both VIPs and general patients.","2.9 million total square feet (including underground parting and logistics)
1,100-bed hospital
Awaiting LEED certification
Women’s services
Pediatric, cardiac and orthopedic facilities.
Emergency department
Imaging center
12-person hyperbaric chamber
Rehabilitation center
20-room surgery center
45-bed dialysis center
Endoscopy center
Cancer treatment center with outpatient chemotherapy and nuclear medicine.",
Parkview Cancer Institute,Architecture/Structural Engineering/Advisory Services,Dallas/Houston,"With the patient experience in mind, Parkview Cancer Institute sought to combine a relaxed healing environment with groundbreaking procedures and world-class care.
The seamless patient experience begins at entry, where a concierge greets each visitor and assists in navigation, providing an extra layer of hospitality and warmth.
HKS designed the facility with ample natural light, private spaces for families, respite rooms for caregivers, concierge service, and an indoor garden space.
To simplify the patient journey, the facility has pods that allow the patient to stay in one location, while the multi-disciplinary care team comes to them. A high-technology area allows the care team to meet either in person or wirelessly to discuss a patient's case and develop a comprehensive treatment plan. 
And with four radiation treatment vaults, two levels of clinics, 48 infusion bays, mammography and a laboratory in the building, patients can receive most of their treatment in the same building. Additional services include nutritional counseling, genetic counseling and testing, wig boutique and national research studies.
By using a direct entry vault, HKS reduced the overall footprint by 800 square feet, allowing for greater efficiency of space and thicker concrete walls. HKS is currently evaluating the increased LINAC capacity during post occupancy.","181,000 square feet
Six stories
48 infusion bays
Four radiation treatment vaults
Indoor garden",
Children’s Healthcare of Atlanta – Center for Advanced Pediatrics,Architecture,Atlanta/Dallas,"HKS was brought on board and asked to fast-track this project after another architect struggled with the client's budget.
Through ingenuity and a solid understanding of building systems, HKS designed a functional building that maximizes efficiency and has better use of materials to lower costs without sacrificing aesthetics. The nine-story Center for Advanced Pediatrics consolidates complex care specialists, state-of-the-art technology and leading-edge research for outpatient pediatric care under one roof for the first time in Georgia.
The new facility contains the Sibley Heart Center as well as areas for physician exams, rehabilitation, research, family respite and pediatric specialists in several fields.
HKS designed an alternate facility that costs $15,000,000 less than the prior firm's projections.",,
Baptist MD Anderson Cancer Center Outpatient Building,Architecture/Interior Design,Orlando/Dallas,"Baptist MD Anderson Cancer Center's goal is to become the primary destination for cancer treatment in its region. To realize this vision, Baptist MD Anderson challenged HKS and FreemanWhite, to design an iconic outpatient building on a tight urban site that would maximize staff performance and improve the patient experience.
Offering a comprehensive range of options for adult cancer patients, the cancer center houses clinical oncology, radiology, imaging, infusion, research, physician offices and support services such as nutrition, care coordination and genetic counseling. The building also contains a Walgreen's Retail Pharmacy, Life Spa for patients and an emotional support center.
In the design of the cancer center, HKS designers, in association with FreemanWhite, strove for flexible, smart and innovative solutions throughout. Modular, prefabricated building materials allowed for shorter fabrication and installation times while maintaining a high level of quality control, ultimately leading to innovative design and reduced costs.
Flexible clinic modules can be used for numerous specialties and adjusted to meet current patient population needs. They also increase staff familiarity and productivity, which in turn improves patient satisfaction.
The facility wraps around a central landscaped courtyard that provides a peaceful and calming environment for patients and their families. It also brings light deep into the building at every floor. The interior features sophisticated and calming materials that exemplify the importance of healthy buildings and healthy living. Additionally, an extensive art collection supplements the interior and exterior design providing another level of interaction and wellness.
Extensive passive solar shading, high performance glass, occupancy and light sensors in-conjunction with 100 percent LED lighting throughout the facility resulted in estimated energy savings of more than 15 percent.
Site design also enabled the creation of two parks; a gift to the community that enabled interaction with the building and its landscape. Paving and sidewalks were configured to promote pedestrian activity and link to a planned bike trail.
After the 100-year flood elevation was breached in 2017 by Hurricane Irma during construction, the design team responded by designing in flood barrier systems to enhance the capabilities of the facility to remain in operation and provide shelter in an emergency.
In addition, the Baptist campus is ideally located between the San Marco neighborhood and downtown Jacksonville and adjacent to the St. John's River with Interstate 95 bisecting the campus. The design for the new cancer center should serve as a catalyst to connect all three parts of the city through its bold and site-sensitive design.","322,710 square feet
5.28 acres
Nine stories
260,000 square foot parking garage
663 parking spaces
100 percent LED lighting
Passive solar shading
37 prefabricated infusion pods
Onsite Café","2019 Award of Honor, AIA Orlando Chapter
2018 AIA Unbuilt Award of Excellence, AIA Orlando Chapter
2018 Significant Concrete Structure Award, ACI Florida First Coast Chapter
2016 Best of Design Awards, Architects Newspaper
2016 Outstanding Redevelopment Award, Florida Planning & Zoning, First Coast Chapter"
Northwestern Memorial Hospital Emergency Department Renovation,Architecture/Interior Design,Chicago/Dallas/San Diego,"To create an environment in which Northwestern Memorial Hospital (NMH) can offer the best care for the 110,000 patients who come to the emergency department (ED) annually. Northwestern challenged our team to create an environment that would improve patient satisfaction, offer greater privacy, increase security and improve treatment team communication.
The HKS design improves patient privacy by creating a welcoming environment that fosters upmost discretion. Designers considered what patients need during every step of their journey, whether waiting for results, receiving treatment, or discussing results and next steps with providers. To improve security, we designed a sequence of spaces ranging from secure entryways to safe rooms, infectious disease treatment areas and secure interior doors that can divide the ED into separate units. The goal is to offer everyone in the ED a secure environment that is easily, reliably controlled. Finally, the design also improves treatment team communication. Team stations throughout the ED that have a similar design language so that as staff rotate through the ED, they are familiar with their environment.
Using an evidence-based design approach, we created an innovative new element within the ED which we call ED pods. These compact environments are inspired by first-class seating in airlines, where many people are comfortably served by a small number of staff. ED pods enable more patients to be treated throughout the ED in less space, in less time with a higher level of amenity and comfort. The pods are approximately ¼ the size of typical exam room, yet contain:
<ol>
<li>An adjustable, ergonomic recliner that converts into a treatment stretcher at a moment's notice.</li>
<li>Lighting that the patient and medical staff can control, with three distinct settings: exam, relaxation, intermediate.</li>
<li>A curved wall behind the patient focuses sound traveling between caregiver and patient to increase privacy.</li>
<li>The curved wall also discretely stores medical supplies including oxygen, vacuum, physiologic monitoring, thermometers, sharps, gloves.</li>
<li>A collapsible chair for one family member.</li>
<li>Storage for patient belongings, and power to charge their electronic devices.</li>
</ol>
The redesign enables NMH to move patients in and out of the ED more quickly in an environment that conveys compassion, offers a higher level of safety than the previous space, and enables treatment teams to offer seamless, highly efficient care. By introducing different kinds of spaces for assessment, treatment, observation and waiting for results, the new design reduces wait times between steps in the patient journey.","15,000 square feet
Reception desk for pivot nurses to separate patients into high and low acuity on arrival
Biophilic finishes in waiting rooms ease stress
Intake pods to evaluate less acute patients
ED pods for patients awaiting test results
High-isolation room with donning and doffing room
Centrally-located teaming pods",
Le Meridien / AC Hotel Denver,Architecture,Dallas,"Following its merger with Starwood, Marriott developed a dual-branded hotel to make its mark on Denver, drawing inspiration from the diverse and vibrant downtown community. Through its bold architectural expression, the project intends to reflect in the progress of its community, while its materiality seeks to preserve the warmth and timeless ambiance of its context.
Boasting the highest open-air rooftop bar in the city, the building is designed to enhance the pedestrian realm with a bold architectural presence. A highly permeable ground level draws guests and residents alike into shared bars and restaurants, where the hotels forego distinct brand expressions in favor of authentic contributions to the streetscape.
The Le Meridien / AC Hotel is more than an icon of Denver's downtown, it is an engine of growth and economic impact. Generating more than 300 jobs in the central business district, and more than $1 million in sales in its first 109 days, the hotel is a showcase of the best of Denver for locals and tourists alike.",,
W Hotel Bellevue,Mixed-Use/Interior Design/Architecture,Dallas/San Francisco/Los Angeles,"Create a unique identity for a new W Hotel in Bellevue, which sits just across Lake Washington from Seattle. Bellevue, the home of Microsoft, is often seen as a community living in the shadow of its more famous and celebrated neighbor.
To create an experience unique to Bellevue, the design team had to seek out the threads of local history as well as contemporary influences to weave together the narrative that became the backbone and driver for all design decisions.
The design narrative is drawn from the multifaceted history of Bellevue. The hotel's location on Lake Washington was the genesis, beginning with the concept of a “virtual lake house”; a modernist's club house for a creative culture filled with music, fashion and design.
As the project's architect and interior designer, HKS artfully knitted the region's past with its current tech innovation renown as the hotel guest's journey is a slow reveal of discovery, like tales told around the campfire, and memories captured in old family photos.
Within the lake house archetype framework, the Bellevue narrative is found in vivid visual and textural references to the wilderness, rugged individualists, Japanese strawberry farms, summer vacations at the lake, and suburbia.
The interior is a high/low extravaganza of color and pattern, like the lake house repository of a family's cast-off treasures or the garage band's flop house, all with a technical, modern twist.
The W Hotel is part of the 1.5 million square-foot mixed-use Lincoln Square Expansion project in Bellevue's Eastside community. The 14-story, 245-room hotel sits atop four floors of upscale retail, and 231 luxury residences rise above the W Hotel in a single 42-story tower.","245 rooms (25 guest suites)
“Extreme Wow” (Presidential) Suite
Living Room gathering space
Speakeasy
Bar and DJ booth/billiard room
Outdoor terrace
Library
Meeting space
Six floors of parking
Elevated pedestrian bridges",
Kachumbala Maternity Unit,Architecture/Sustainable Design,Dallas/London,"Kachumbala is an impoverished rural area in eastern Uganda with limited access to health care and a high infant mortality rate. Its outdated, two-room, 1950s-era maternity unit could not accommodate nearly half of the women who travel long distances to the facility to give birth. Instead, many women choose to stay home and give birth without medical assistance, increasing the risk of infant and maternal deaths due to infection or birthing complications. Designers were challenged to create a modern maternity unit that would be welcoming and able to handle multiple births every day.
The passively-designed unit houses two delivery suites and a seven-bed postnatal ward to accommodate a minimum of six births per day, with the flexibility to support future expansion. The design was evaluated by UK-based health professionals, who also provided training for the maternity unit's midwives. The low-cost facility was built with the help of a locally-sourced workforce – about 40 people &#8211; and 95 percent of the building materials were locally produced. Sustainable, passive features are design musts in locations where the power supply isn’t reliable and natural resources are scarce. A mono-pitch roof, strategic placement of operable windows, dog runs, &amp; exterior corridors featuring terra cotta screens, create ventilation and shading. The predominant building material, interlocking soil-stabilized blocks were handmade onsite, using locally arising murrum mixed with cement in a brick press, reducing both costs and the need for power tools. HKS partnered with Wales-based charity Engineers for Overseas Development and Clyfe Building Skills to design, fund and build the new maternity unit.
Since opening in November 2017:
• Admissions have increased from an average of 68 per month to 77 per month<br />
• Number of deliveries has increased from 58 per month to 70 per month<br />
• Zero infant or maternal deaths recorded","2,960 square feet
Two delivery suites
Seven-bed post-natal recovery ward
Two-bed isolation room
Community/family area
Flush toilets
Solar-powered 12v power system for lighting and refrigerated drug storage
Rainwater catchment and filtration system","2018 World Architecture Festival, Finalist, European Healthcare Design Awards, Healthcare Design under 20,000 square meters
2018, European Healthcare Design Awards, Design for Health and Wellness
2017, Fast Company World Changing Ideas, Health Category Finalist"
FITTEAM Ballpark of the Palm Beaches,Architecture/Interior Design/Branded Experiences/Sustainable Design/Alternative Project Delivery,Dallas/Richmond,"To create a state-of-the-art, two-team Major League Baseball training facility that maintains the intimacy between players and fans that is essential to Spring Training, while recognizing the cultural distinction between the two ball clubs.
By situating the ballpark at the center of the teams’ clubhouses and practice fields on the 160-acre site, HKS designers immersed the fans in the game. A meandering path from the parking lot through the training complex and a 360-degree, open-air concourse provides maximum accessibility between fans and players, from watching batting practice to chasing down autographs.
The 160-acre site was formerly a dump site for storm debris and yard waste, at least 60% of which was recycled during the project. Primary parking areas for Spring Training use are on grass lots that can be converted to soccer fields in other months. All irrigation water for the 13 playing fields and 160 acres of landscaping comes from on-site retention ponds in lieu of using potable water.",,
Dell Seton Medical Center at The University of Texas,Architecture/Interior Design/Sustainable Design/Structural Engineering/Urban Design,Dallas,"The University of Texas Medical Center sought to anchor a new teaching, patient care and research district with Austin's sole Level 1 trauma hospital located on a sloped site in a dense urban setting.
This 517,000 square foot, 195-bed teaching hospital maximizes a small footprint and creates an accessible gateway to the UT Medical Center campus. HKS designers kept the urban scale in mind through a pedestrian-friendly ground level plaza, interior courtyards for peaceful reflection, and a sky bridge connecting otherwise disjointed floors. The building is sensitive to the natural context, offering views of the Texas state capitol and visual access to the natural beauty of Waller Creek and the revitalized Waterloo Park.
As the Austin area's only Level 1 trauma center for adults, the hospital now plans to expand inpatient and surgical areas through vertical additions and integrate new technologies like interactive patient care boards and digital signage.
The facility is part of a vibrant, diverse, dense urban district with human-scaled architecture. The LEED Gold-certified, 195-bed teaching hospital is the first new academic medical center on an undergraduate campus in the United States.","195 inpatient beds
Level one trauma center
Interventional radiology
14,500 square foot laboratory
Inpatient and outpatient pharmacies
Neonatal intensive care unit
Two-pad heliport
30-bed intensive care unit
30-bed universal care unit
135 med/surg beds
12 operating rooms
Two cath labs
One hybrid operating room","2018 Austin Business Journal, Overall Development Winner, Commercial Real Estate Award"
Miami Cardiac and Vascular Institute,Architecture/Interior Design/Sustainable Design,Dallas/Phoenix/Miami,"Design a state-of-the-art facility with space for new and specialized programs that enable multidisciplinary teams to collaborate and treat a growing number of patients and procedures.
The expansion nearly doubles the size of the institute. Six new operating rooms are dedicated to neuroscience, cardiac, vascular and robotic surgery. Four new endovascular suites feature enlarged gallery viewing areas that facilitate enhanced teaching and learning opportunities. The expansion also includes the National Center for Aneurysm Therapy, the first of its type in the world, in addition to the Center for Structural Heart Therapy, Center for Critical Limb Ischemia and the Advanced Arrhythmia Therapy Center.
Baptist Health's Miami Cardiac and Vascular Institute is the largest and most comprehensive facility of its type in South Florida. Researchers are working to discover new cardiovascular disease breakthroughs in the various centers that the project includes. The institute employs more than 70 doctors and 1,100 employees in a system that serves 125,000 patients annually.","65,000 square foot expansion
50,000 square foot renovation
Six-room surgery and intervention suite
Procedure gallery
Advanced endovascular suites
Echocardiogram/peripheral vascular lab
LEED Silver certified",
Mosaic Stadium,Architecture/Interior Design/Branded Experiences/Urban Design/Alternative Project Delivery,Dallas,"To be representative of the culture, the history of the region and the people of the region within a package that is responsive to its challenging climate. To shield from the elements while simultaneously welcoming the community and connecting underutilized existing assets within the city's future urban revitalization plan.
Mosaic Stadium's design is characterized by its reflection of the province and its people. The stadium's roof design grew out of fluid dynamic modeling combined with the embodiment of the province's renowned, open sky. Both the design of the roof form and the location of building massing were sculpted to shield fans and players from the prevailing northern winter winds and to shed snow accumulations. The playing surface was set below grade to aid both the climatic response as well as the visual impact to the surrounding developments. Regional and contextual materials take inspiration from both the agricultural heritage at the heart of the region as well as stone native to the area's geology. The flow and the texture of the fields when combined with the aura of the northern lights as seen in the region provided powerful visual cues that informed and enriched the contextuality of the project. Within the framework of the city of Regina's urban revitalization plan, Mosaic Stadium is both an integral component and a foundational element. Surrounding entry plazas and corresponding view corridors were carefully conceived to maximize connections to both the adjacent Evraz Place development, the existing Confederation Park, as well as the planned linear park that physically links the stadium to the city's greater master plan. HKS worked on the project in conjunction with B+H Architects and TD Securities.
In addition to the Saskatchewan Roughriders of the Canadian Football League serving as the primary tenant, Mosaic Stadium's built-in flexibility can accommodate concerts, FIFA soccer matches and a variety of cultural and entertainment events. Its 33,000-seat capacity is expandable to 40,000 seats. Going forward, the stadium will serve as the anchor and the catalyst for the City of Regina's master planning efforts.","521,866 Square feet
33,000-seat capacity expandable to 40,000 seats
1,400 club seats
384 loge seats
38 luxury suites
Translucent spectator roof",2018 Engineering Excellence Gold Medal Award for Structural Systems
Loma de Vida Spa &amp; Wellness at La Cantera Resort,Architecture,Dallas,"Located on the skirts of the existing resort, the layout of the spa became an opportunity to address a difficult sloping site constrained on three sides by the natural and existing conditions of the site. On the backside, a 30-foot-tall boulder wall created a natural visual barrier but a challenging construction site. On the down hillside, the Hole No.1 tee boxes from the golf course created interesting relationships with the future spa guests and the players at the golf course. With a name that means “Hill of Life,” this urban resort sought to bring a sense of rejuvenation and serenity just beyond the attractions of San Antonio.
To avoid creating heavy structures that would create more harm to the site than good, the design team decided to break the mold of the existing architecture style and proposed an alternative modern design approach to the project. This allowed the team to create a modern and contemporary steel building that could cantilever and span across the rugged terrain while creating dramatic volumetric shapes and vistas to the guests through large windows and open-air decks. Glass, steel and wood became the initial design palette. Lifting the structures also allowed the spa guests to have enough separation from more active areas of the resort such as the golf players and vehicular noise from the porte cochere above. Using vernacular traditions, local materials, spa treatments, and a sense of openness, Loma de Vida spa creates a destination in stark contrast to the traditional resort setting. Complete with sky lofts, private soaking pools, and private decks, the spa's clean lines, glass walls and steel frames offer a contemporary setting for relaxation overlooking the expansive landscape.
The partee of the project, which was unveiled in 2015, allowed the resort to reposition itself as one of the leading destinations in the Texas Hill Country region. It offers visitors some of the best views of San Antonio, while enjoying one of the most serene spa offerings in the Lone Star State.",,
The Ohio State University North Residential District Transformation,Mixed-Use/Architecture/Interior Design/Sustainable Design/Alternative Project Delivery,Dallas/Miami,"HKS was challenged to satisfy the gargantuan need for additional residence halls and accompanying infrastructure and facilities since Ohio State University now requires sophomores to live on campus. The project had to be accomplished while classes are in session. The HKS Team was chosen after an intense competitive review process, during which the team identified $26 million in savings to the university.
The North Residential District Transformation project consists of 11 new buildings and the addition of new entries to three existing residential towers with the goal of creating distinct centers of activity for the students, defining the district's edge and establishing the new North Campus Gateway. The design delivers high-quality, efficient residential facilities that will enhance the student experience on campus. Ohio State's “Live Learn” initiative, the Second-year Transformational Experience Program (STEP), focuses on enhancing the education of students beyond the classroom. This program creates a unique living environment designed to incorporate the elements of student success, programmatic needs, architectural innovation and student and faculty interaction. Design elements include ground-floor transparency and ambient light to create a safer environment for pedestrians and encourage interior and exterior activity spaces. Residences are located on upper floors, while ground floors are dedicated to common and STEP spaces, creating controlled access to support security, highlight neighborhood activities and provide live-learn areas for student and faculty interaction. Students are encouraged to leave their “no-frills” dorms and socialize by the juxtaposed engaging common areas. The recreation center was designed by HKS with the intention and ability to eventually expand the building and enclose the play courts. It features a three-story atrium, open stairs, full glazed facade, open gym, exterior play courts and several multipurpose rooms. In addition, a 32,000 square-foot, all-you-can-eat dining hall will seat 950 and a 12,000 square-foot retail market diner will seat 180. This project is seeking LEED Silver certification.
Research shows that students succeed socially and academically when they interact with each other as the design of this project encourages with engaging social areas. It's one reason why these new residential halls are the most popular on campus, where about 34 percent of Ohio State's more than 45,000 students live.","1,100,390 total square feet
Nine residence halls with 3,875 beds.
Two dining facilities
27,000 square-foot recreation center
Classrooms
Study rooms
Computer/Internet HUBS
Coffee shops
Social lounges
Game rooms
Event space
Seeking LEED Silver certification",
"Esperanza, An Auberge Resort",Interior Design/Architecture,Dallas/Mexico City,"After Esperanza suffered severe damage from Hurricane Odile in 2014, HKS was tasked with renovating the beloved Los Cabos seaside resort in just six months. But beyond a simple refresh, the design team's redesign transformed the resort by uniting two key elements – color and culture – that combined the resort's natural cliffside setting with Mexico's rich artisanal heritage.
Incorporating millwork, furniture, lighting, accessories and textiles, all custom-designed and crafted in Mexico, gave Esperanza – which means “hope” in Spanish – a new beginning infused with artistry and romance. Set on a natural backdrop of vivid sunsets and deep sapphire blue waters, Esperanza's contemporary approach melds shades of natural gray, faded blue and white to offer a calming and inviting space for guests. They can retreat into sophisticated and intimate oasis spaces that complement the innate beauty of the surrounding landscape of beaches and rocky cliffs overlooking the Sea of Cortez. An abbreviated design and construction schedule combined with a desire to put people back to work, led HKS to assemble a team of experts well-versed in Mexican culture and resources to identify local fabricators and artisans who could deliver exquisite custom designs on a compressed schedule. Designers lived on-site to expedite purchasing and design details.
HKS took an iconic resort property and breathed new life into its design while remaining true to the spirit that has engendered a devoted guest following, evoking an exclusive yet barefoot-chic seaside sanctuary. It is the only private beach resort in Los Cabos.","51 reimagined guestrooms and suites
Ocean views & private terraces
Private infinity hot tubs
Original Mexican artwork
Oceanfront bar lounge
Infinity pool
Curated boutique
Spa","2016 Forbes Travel Guide, Five-Star hotel
2016 Boutique Design Gold Key Awards for Excellence, Best Resort"
