Title,Location,Link,Factors,Content
NOAA Daniel K. Inouye Regional Center,"Pearl Harbor, Hawaii, USA",https://www.hok.com/design/service/architecture/national-oceanic-and-atmospheric-administration-noaa/,"LEED CERTIFICATION&nbsp;: LEED-NC Gold

SIZE: 350,000 sq. ft. / 32,515 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Laboratory Planning
Master Planning

AWARDS: AIA Committee on the Environment - Top 10 Green Projects
AIA Honolulu Chapter - Award of Excellence, Institutional
AIA Honolulu Chapter - Mayors Choice Award
AIA California Council - Merit Award, Interior Architecture
AIA San Francisco - Merit Award
The Chicago Athenaeum: Museum of Architecture and Design and The European Centre for Architecture Art Design and Urban Studies - The American Architectural Award
IIDA Northern California Chapter - Merit Award
Historic Hawaii Foundation - Preservation Honor Award
ENR California - Best Projects 2014 - Award of Merit","Located on a national historic landmark site on Oahu’s Ford Island, the National Oceanic and Atmospheric Administration’s Inouye Regional Center features the adaptive reuse of two World War II-era airplane hangars linked by a new steel and glass building.
The original aircraft hangars, designed in 1939 by Albert Kahn, inspired beautifully simple solutions for how the new center uses air, water and light. The team worked closely with local preservationists to keep the hangars close to their original condition.
The complex accommodates 715 people in a high-performance research and office campus that integrates NOAA’s mission of “science, service and stewardship” with the region’s cultural traditions and the island’s ecology. It houses a diverse range of critical programs, functions and federal departments, including the Pacific Tsunami Warning Center.
Facilities include wet and dry research laboratories, a marine center, a library, administrative offices, conference and meeting areas, a dining hall and informal collaboration spaces.
The interior environment is based on the principles of campus design. Creating a central gathering place, the plan supports program-intensive workplaces with internal quadrangles of open space with primary and secondary circulation routes.
Connecting the front door of the campus with the waterfront, the three-story atrium knits together a sequence of materials and volumetric plane changes to give people a sense of progression as they move through the building. A series of interactive exhibits highlight the history of the island and region, as well as NOAA’s diverse mission.
Located at the northern end of the atrium, the dining hall provides users with a panoramic view to the water and the mountain range in the distance. The two-story fully glazed space maximizes transparency and creates a fluid visual experience. A 200-seat auditorium provides tiered seating for NOAA programs, while multiple conference rooms and flexible classrooms support collaborative activities.
The biological influences of the region guided the design of the LEED Gold project. A skylight diffuser system virtually eliminates the need for artificial light during the day. Hawaii’s first hydronic passive cooling unit (PCU) system uses chilled water from a nearby building and natural ventilation to condition the space through an underground air distribution system. A graywater capturing system is used to irrigate the native landscaping.
The AIA COTE selected the project as one of the year’s 
best examples of sustainable design
 excellence. It also won a prestigious 
American Architecture Award
 as selected by the Chicago Athenaeum Museum of Architecture and Design.
HOK worked with Hawaii-based architect Ferraro Choi."
Doha City Centre Hotels,"Doha, Qatar",https://www.hok.com/design/service/architecture/doha-city-centre-hotels/,"SIZE: 2 million sq. ft. / 185,800 sq. m.
1,276 rooms
350 extended-stay apartments

SERVICES: Architecture
Branding
Interior Design
Landscape Architecture
Master Planning
Signage + Wayfinding

AWARDS: Arabian Hotel Investment Conference - Design Innovation Award","At the Doha City Centre, HOK designed the addition of five high-rise hotel towers to the largest retail development in the Middle East.
Each hotel has a distinct design, brand and position that combines to form an inviting destination. These four-star to five-star properties are operated by Marriott, Shangri-la, Rotana and Merweb. They are built on the west and east sides of the exiting Doha City Centre and linked at the podium levels and shopping complex.
The team developed the landscape, architectural and interior design concurrently. This efficient approach provided a cohesive brand expression for each hotel while minimizing design production and construction delivery times."
United States Embassy,"Moscow, Russia",https://www.hok.com/design/service/architecture/united-states-embassy/,"SIZE: 220,000 sq. ft. / 20,400 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture

AWARDS: AIA Washington, DC - Award of Merit","This design complies with strict technical and security criteria while adding a contemporary landmark to Moscow’s skyline.
A partially constructed base building served as the original foundation for this striking, yet secure, government facility in the heart of Moscow. The project included a vertical addition and renovation to the abandoned base structure, as well as new construction.
The facility is equipped with special features providing the maximum level of security, including the most advanced security systems, shielding and blast protection available.
The extreme sensitivity of the project required all A/E contractors to obtain a facility clearance. Team members with access to classified information were required to maintain top-secret personnel clearances."
New Jersey Public Health,"West Trenton, New Jersey, USA",https://www.hok.com/design/service/architecture/new-jersey-public-health-environmental-and-agricultural-laboratory-/,"SIZE: 200,000 sq. ft. / 18,500 sq. m.

SERVICES: Architecture
Construction Administration
Laboratory Planning","This laboratory building houses several public health, agriculture and environmental agencies that monitor and protect public health in the state of New Jersey.
It includes new laboratories, offices, conference areas and animal facilities for the New Jersey Department of Public Health and Department of Agriculture. The program includes a new bioterrorism lab, new epidemiology, microbiology, environmental chemistry, animal necropsy and analytical labs to support public health surveillance, monitoring and screening.
The building plays a key role in the state’s response plan. In addition to more than 15,000 square feet of BSL-3 labs for clinical and bioterrorism response, the facility includes chemical terrorism labs to screen clinical and environmental samples for rapid detection.
Through extensive laboratory planning, lab designers saved more than 3,000 square feet by consolidating a chain of custody and repository freezers into one high-density system.
The sustainable lab design strategies include recycled materials, low-VOC construction materials, occupancy sensors for lights and fume hood control, and variable air volume hood controls. Outside, carefully positioned photovoltaic cells maximize solar energy use while blending into the architectural detail of the roof and facade."
One McKinley Place,"Manila, Philippines",https://www.hok.com/design/service/architecture/one-mckinley-place/,"SIZE: 753,500 sq. ft. / 70,000 sq. m.
44 stories

SERVICES: Architecture","This is the third prominent residential tower that HOK has designed on the rapidly developing Fort Bonifacio Global City skyline.
This prestigious 44-story residential complex is located in the upscale Fort Bonifacio Global City district near Makati City in Manila. The landmark building, which includes two separate towers joined by a wraparound glass curtain wall and a single podium, forms a gateway to Fort Bonifacio from the luxurious Forbes Park District.
The complex’s 203 bedroom units offer dramatic views, looking west over the Manila Golf course toward the burgeoning skyline of Makati City.
A restaurant, business center and swimming pools are surrounded by a shaded deck on the two-story podium, which features open views through a curvilinear glass and stainless-steel curtain wall. The health club and residents’ club open directly onto the pool terraces and share the view of the skyline."
Sun Moon Lake Hotel,"Xiangshan, Nantou County, Taiwan",https://www.hok.com/design/service/architecture/sun-moon-lake-hotel/,"SIZE: 594,800 sq. ft. / 55,300 sq. m.

SERVICES: Architecture","The design brings a new resort to the Sun Moon Lake Scenic Area, a destination known for its natural beauty and nature reserves.
The challenge was to maximize views while conserving resources and respecting nature.
Located next to an existing tourism center, the hotel is part of a larger plan that includes a cable car station, public pier bicycle paths and a mountain trail network. The resort cluster embraces the public plaza, defining an exclusive water garden and scenic lake view.
Passive solar and natural ventilation – including a multi-story atrium and wing wall – enhance indoor thermal comfort with stack and cross-ventilation, reducing the need for mechanical ventilation and lighting.
Renewable energy, rainwater harvesting, graywater recycling and solar heating help keep the resort’s carbon footprint small. Green roofs, which enhance thermal and acoustic comfort while reducing stormwater runoff, provide an appealing and regionally relevant roofscape."
Suzhou Times Square,"Suzhou, China",https://www.hok.com/design/service/architecture/suzhou-times-square/,"SIZE: 5.4 million sq. ft. / 500,000 sq. m.
100 acres / 40 hectares

SERVICES: Architecture
Interior Design
Master Planning","Times Square is the first international urban mixed-use development in Suzhou. Located in the city’s commercial center on the east bank of Jinji Lake, the project integrates retail, dining, entertainment and cultural elements across five districts. 
A series of canal-side walkways link the hotels, offices, shopping destinations and open spaces. A sweeping sky canopy features a 1,640-foot-long ETFE (ethylene tetrafluoroethylene) canopy with an integrated LED screen.
The design creates urban landmarks, gateways and plazas to enhance the sense of place and subtly recreate the distinct character of the region’s traditional gardens.
Bridges and courtyards establish a rhythm of unique spaces that serve as backdrops and foregrounds for dining, strolling and shopping experiences along the canal.
Visitors access Times Square by water taxi, six subway entrances and 4,000 underground parking spaces. Pedestrian activity flows from the nearby convention center and administrative government offices and from surrounding residences and hotels.
As the cultural heart of Suzhou Industrial Park, the development is integrated with the Suzhou International Expo Center, the Suzhou Industrial Park Administrative Center, and the Suzhou Science and Arts Center. It is designed to serve the needs of the broader region and to support commercial and residential development around Jinji Lake."
United States Embassy,"Nairobi, Kenya",https://www.hok.com/design/service/architecture/united-states-embassy--nairobi/,"SIZE: 402,100 sq. ft. / 37,350 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture
Mechanical/Electrical/Plumbing
Engineering
Structural Engineering","Political, aesthetic and security considerations guided the design of this new embassy compound, which was designed after a bombing destroyed the former embassy.
While ensuring the highest level security, the largest US embassy in sub-Saharan Africa also conveys a welcoming sense of openness to the people of Kenya. 
The design accomplishes this through the use of three elements: a porch area, outdoor gathering spaces and a separate consular section entrance. This consular entrance provides a less formal entryway for visitors, facilitating everyday business activities while enhancing security."
Chevy Chase Center,"Chevy Chase, Maryland, USA",https://www.hok.com/design/service/architecture/chevy-chase-center/,"SIZE: 412,000 sq. ft. / 38,300 sq. m.

SERVICES: Architecture
Landscape Architecture
Master Planning

AWARDS: AIA Washington, DC - Merit Award for Interior Architecture
em>Mid-Atlantic Construction magazine - Award of Merit, Mixed-Use Category","HOK’s design transformed a 50-year-old suburban shopping center into modern offices, restaurants and retail stores in one of the country’s most successful neighborhood retail centers.
Exemplifying the ideals of New Urbanism and smart growth, the project increases density, encourages pedestrian activity near a Metrorail station and adds green space. It promotes urban retail and business in this important quadrant of Friendship Heights.
The new development quadruples the square footage of the original center. The entire eight-story office tower was pre-leased before its opening.
In addition to commercial office space, the local community gained 90,000 square feet of “neighborhood” retail, including banks, restaurants, drycleaners and a grocery store, as well as “destination” retail. Two large, open spaces welcome people to shop and work here."
University of Calgary ICT,"Calgary, Alberta, Canada",https://www.hok.com/design/service/architecture/university-of-calgary-information-communication-technology/,"SIZE: 188,400 sq. ft. / 17,500 sq. m.

SERVICES: Architecture
Consulting
Facility Programming
Interior Design
Lab Planning

AWARDS: em>Alberta Construction Magazine - Albertas Top Project","The design combines passive natural ventilation and cooling systems with a high-performance building envelope and radiant slab cooling system.
The building houses the University of Calgary’s departments of Computer Science and Electrical and Computer Engineering. Faculty members’ desire for fresh air drove a design solution that offers perimeter offices with operable windows and lots of natural light.
In addition to the passive ventilation system and high-performance building envelope, the sustainable features include North America’s first structural slab radiant cooling system.
Canadian Architect magazine called the building “a carefully designed and technically refined machine for learning, and, as such, fitting as both a metaphor and a home for the faculties it houses.”
HOK collaborated with Barry Johns Architecture and Stantec Architecture, the architect of record."
33 Davies Street,"London, UK",https://www.hok.com/design/service/architecture/33-davies-street/,"BREEAM&nbsp;CERTIFICATION: BREEAM Excellent

SIZE: 33,700 sq. ft. / 3,130m.

SERVICES: Architecture
Interior Design

Awards: Brick Development Association -﻿ Brick Awards, Best Commercial Building","The construction of a new office building with a retail ground floor in the heart of London’s historic Mayfair neighborhood reflects the area’s vibrant spirit.
Located in a Conservation Area among Georgian townhouses and imposing Victorian facades, the office building needed to balance contemporary and traditional aesthetics. Incorporating the essence of classical architecture, the design team worked with Grosvenor Estate and Stow Properties to give the building its own identity while ensuring that it fits comfortably in its surroundings.
Using building information modeling, the team maximized floor-to-ceiling heights while effectively inserting an entire floor in comparison to the Edwardian building it replaces.
The design reconciled a classically inspired elevation design, which typically would require decreased floor-to-floor heights moving up the building. By varying the size and detailing of the windows, an illusion of “piano nobile” exists along ground floor retail spaces. This helps integrate the building into its historic surroundings while maintaining the floor-to-floor heights of a modern office building on higher floors.
In reference to neighboring buildings, the exterior has the appearance of handset, handmade brickwork, with decorative elements crafted from Portland stone. The facade is actually composed of precast panels elegantly detailed to hide joints and junctions. Using this material accelerated construction while giving the facade a consistent appearance.
The quality of design, materials and detailing continues inside the building. The reception area, in particular, reflects the contemporary and exclusive luxury called for in the design brief.
The design team advised the clients on the selection of artists for the public artwork, which includes three solid bronze portcullis entrance gates designed by London artist Wendy Ramshaw, CBE.
BIM geometry and data developed throughout the design and construction process will aid in the building’s ongoing management. Key initiatives that will benefit the owners include asset tagging, online tools for building management systems, tenant fit-out guidelines and GIS models."
NOAA National Center for Weather + Climate Prediction,"Riverdale Park, Maryland, USA",https://www.hok.com/design/service/architecture/noaa-national-center-for-weather-and-climate-prediction/,"LEED CERTIFICATION: LEED-NC Gold

SIZE: 268,000 sq. ft. / 24,900 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Landscape Architecture
Master Planning

AWARDS: AIA ﻿Virginia Society - Honor Award</span
AIA Maryland - Citation Award for Institutional Architecture
ASLA Potomac and Maryland - Merit Award
em>Engineering News-Record - Best Mid-Atlantic Government/Public Building Project
NAIOP Maryland/DC -﻿ Award of Excellence -﻿ Best Institutional Facility","This new office and research complex is the centerpiece of the largest planned research park in the national capital region.
Forecasters across the U.S. rely on the National Oceanic and Atmospheric Administration ﻿and the National Weather Service to provide the fastest and most accurate information. ﻿Nearly all meteorological data collected globally arrives here for analysis by NOAA’s environmental scientists.
To support the organization’s mission of understanding and predicting changes in the earth’s environment, the design reduces the Center’s impact on the environment and physically embodies man’s relationship to nature. Just as natural systems do not operate in straight lines, the building is configured in a series of curving wings that intersect in a central atrium. The building form is organic, with “waves” of space.
The north elevation features continuous horizontal bands of windows that allow sweeping views into the woodland preserve. The south elevation consists of a curtain wall with sunscreens that reduce solar heat gain and act as light shelves that bounce daylight deep into interior spaces. Visible from the interior, the lower roof surfaces are vegetative planes. These surfaces surround the sweeping, inclined central roof that rises from the building entry to an apex at the cupola. Here, within the facility’s highest occupied space, researchers collect atmospheric data.
Designed as a central gathering space, the five-story atrium encourages the informal interaction between scientists and administrators that is crucial to the development of science. With the main stairs and amenities clustered around it, this atrium becomes the building’s social and emotional center.
Sustainable design strategies include water-sensitive site design, bioretention, energy performance optimization, natural daylighting, enhanced indoor air quality and increased thermal comfort and control.
A large, extensive green roof covers a majority of the roof surface, functioning as the building’s “fifth elevation.” Excess stormwater runoff from the roof moves down a waterfall by an outdoor dining terrace to a rain garden, where it collects and filters through wetland plantings. An underground cistern collects on-grade stormwater runoff to reuse for site irrigation.
The site’s planting palette features native and adapted species that can withstand challenging heat and drought conditions with little irrigation. The variety of native grasses, perennials, ferns and shrubs weave together in broad drifts beneath scattered trees, creating the feeling that the building has risen out of a natural landscape."
UIC Stukel Towers and Forum,"Chicago, Illinois, USA",https://www.hok.com/design/service/architecture/university-of-illinois-at-chicago-james-j-stukel-towers-and-forum/,"SIZE: 500,000 sq. ft. / 46,500 sq. m.

SERVICES: Architecture
Facility Programming
Interior Design
Lighting Design
Master Planning

AWARDS: AIA Illinois - Honor Awards, Frank Lloyd Wright Honor Award Special Recognition﻿
Illinois Indiana Masonry Council - Silver Award, Education Category, Excellence in Masonry","This mixed-use development connects student life and academic enrichment with social and recreational amenities in an urban campus setting.
This new complex accommodates a dynamic mix of housing, meeting, dining and retail, bringing new life to the local community.
The buildings – a 3,000-seat convocation center known as The Forum, a residence hall for 750 students, a dining facility and a 150-seat event center – are linked by a retail and dining area.
The development encourages students to spend more time on the urban campus, which is located just west of Chicago’s Loop, while providing social venues that attract people from the community and generate revenue for UIC. The Forum draws a variety of events, including conventions, trade shows and concerts."
The Central + Wolfe Campus,"Sunnyvale, California, USA",https://www.hok.com/design/service/architecture/the-central-wolfe-campus/,"LEED CERTIFICATION: LEED-NC Platinum

SERVICES: Architecture
Interior Design
Landscape Architecture
Master Planning
Sustainable Design","The design for The Central + Wolfe Campus creates a futuristic new campus in Silicon Valley.
HOK’s team embraced the vision of the developers to transform an existing 20-acre business park into a futuristic tech office campus with open floor plans.
The relationships between buildings and open space are inspired by the dynamic relationship of converging biomes in the Santa Clara Valley. Each of the three four-story office buildings has an internal courtyard designed for year-round use with pedestrian pathways connecting all facilities and outdoor spaces.
Creating an oasis of urbanity in the suburbs, the campus is designed with a full complement of amenities. Shaped like a quarter circle, the amenities building features sweeping, full-story glass walls and upper-level clerestory windows that create the sensation of being on an open porch. A large, overhanging roof allows dining and gathering spaces to spill out onto an outdoor patio on the central quad.
The central quad includes an open plaza, detailed landscaping, public art, a sunken amphitheater, a large dining terrace, outdoor pavilions, and café chairs and tables.
Distinguishing the development in the crowded local office market, the campus has achieved LEED Platinum status and the buildings are designed to be net-zero energy ready. Instead of adding a separate solar shading system, the design extends the concrete floor slabs as protruding fins that act as built-in sunshades protecting the glass walls from direct solar heat gain and glare.
Conveniently located between the Lawrence and Sunnyvale Caltrain stations, auto courts and a designated shuttle depot provide pedestrian drop-off areas. Once they arrive, employees can navigate all areas of the campus internally without accessing city streets."
Dubai International Financial Centre,"Dubai, UAE",https://www.hok.com/design/service/architecture/dubai-international-financial-centre/,"SIZE: 25 acres / 10 hectares
1.07 million sq. ft. / 100,000 sq. m.

SERVICES: Architecture
Master Planning
Urban Design","The goal for this project is to help Dubai become the region’s primary financial trading center.  
HOK developed the master plan and urban design guidelines for the Dubai International Financial Centre. The master plan consists of 22 plots of land. 
The development concept brings changes in financial regulations for businesses in the DIFC. Businesses located within the development will be part of a duty-free zone.
The master planning process was particularly complex because although the DIFC is being built by several different developers, it is an integrated development with zero lot-line podiums, shared servicing routes and continuous concourse-level retail, landscaping and connections. "
Suzhou Wujiang Golden Bay Tourism Complex,"Suzhou, Jiangsu Province, China",https://www.hok.com/design/service/architecture/suzhuo-wujiang-east-taihu-lake-golden-bay-tourism-complex/,"SIZE: 2.7 million sq. ft. / 252,000 sq. m.
222 acres / 90 hectares

SERVICES: Architecture
Landscape Architecture
Master Planning


strong> </strong","This landmark tourist destination on Taihu Lake, the largest lake in eastern China, will introduce ecotourism to China’s emerging international and domestic tourism sector.
Taihu Lake is the primary element that organizes all of the development parcels. The north shoreline is urban and supports many activities, while the south shoreline is natural and private, providing more tranquility.
A harbor area to the north and west includes a marina, yacht club hotel and tourist center. The eastern hill area features a water sports park, dry ski slope and visitor center, while the southern delta area incorporates a family hotel and corporate club. All building forms embrace organic shapes to reflect the ebb and flow of the natural environment.
By enhancing the lake’s pristine natural environment, the design creates a destination that is commercially viable and ecologically sustainable.
Like a delicately woven fabric, landscaping and new architectural forms trace the Taihu waterfront with an interconnected sequence of public spaces that provide visitors with memorable experiences of exploration and discovery. 
A prominent north-south circulation route creates pedestrian paths running parallel to the buildings and along the project’s street frontage. Zoning guidelines maximize the building massing along the setback lines. Pedestrian paths divide the built area from the natural softscape.
By leveraging the tidal changes and ecotones of Taihu Lake, the design helps restore wetland areas, protect bird and fish habitats, and improve the lake’s water quality. Proposed biological and natural systems will be supplemented by additional mechanical filtering systems.
The project is the first phase of a larger tourism-oriented plan encompassing more than 7.7 square miles along the shores of Taihu Lake."
535 Mission Street,"San Francisco, California, USA",https://www.hok.com/design/service/architecture/535-mission-street/,"LEED CERTIFICATION: LEED-CS Platinum

SIZE: 354,000 sq. ft. / 32,900 sq. m.
27 stories

SERVICES: Architecture
Interior Design
Landscape Architecture

Awards: ENR California - Best Project, Office/Retail/Mixed-Use","The slender urban form of this Class A office tower transforms the South of Market (SoMa) district of San Francisco.
As the first LEED Core and Shell Platinum office tower in San Francisco, the building’s advanced mechanical systems, high-performance skin and water use efficiencies promote sustainability, comfort and productivity. The facade features high-performance glass that integrates with indoor controls to enhance its energy and light transmission performance.
The project provides 3,700 square feet of ground-floor retail space to serve building occupants, visitors and city residents. The double-height lobby includes publicly accessible open space that flows into the covered outdoor plaza, featuring flexible seating, generous landscaping and an espresso bar.
The addition of new trees and a continuous band of planting along Shaw Alley softens the streetscape and enhances the pedestrian environment linking the building to the adjacent Transbay Terminal. Concrete paving in the alley adds pedestrian scale and texture, establishing visual continuity.
“Where the base of 535 Mission blends with the surroundings, the tapered form above is a discreet show unto itself — attracting attention not by height, but with a simple set of inward moves that draw the eye,” wrote 
John King in the 
San Francisco Chronicle
. “535 Mission shows less still can be more. The unusual but understated form is emphasized by the sleek glass skin, where sometimes, especially near dusk or dawn, each side reads as a single blue or silver pane. The lone flourish is a flare at the summit, but you don’t notice it except from certain angles to the north.”"
Johnson County Adult Detention Center,"New Century, Kansas, USA",https://www.hok.com/design/service/architecture/johnson-county-new-century-adult-detention-center-expansion/,"SIZE: 160,000 sq. ft. / 14,900 sq. m.
554 beds

SERVICES: Architecture
Justice Planning
Programming Verification

AWARDS: American Institute of Architects - AIA Justice Facilities Review Merit Award","The innovative design for this 554-bed expansion incorporates several specialized housing configurations on a site originally planned for 96 beds.
HOK and Treanor Architects designed several housing types, including segregation, maximum security, special needs and medium/minimum security. The compact footprint for this expansion follows the existing facility’s triangular configuration and fits within the existing road and utility network.
The poured-in-place, flat-slab concrete structural system provides flexibility to stack different housing unit configurations. Horizontal rear service chases simplified construction and allow staff to do maintenance work without entering the secure housing unit.
The team planned each housing unit to optimize sightlines and capture borrowed light. The separate segregation unit has a central control room that allows for direct observation of each of the four single-level housing wings, outdoor exercise areas and dayrooms. Detention center guards directly supervise the other housing units. "
Killbear Provincial Park Visitor Center,"Nobel, Ontario, Canada",https://www.hok.com/design/service/architecture/killbear-provincial-park-visitor-centre/,"SIZE: 12,000 sq. ft. / 1,115 sq. m.

SERVICES: Architecture
Exhibition Design
Interior Design
Landscape Architecture
Master Planning

AWARDS: Architects Association of Prince Edward Island - PEIs Lieutenant Governors Award of Excellence in Architecture
Canada Mortgage and Housing Corporation - CUI Brownie Awards
Canadian Solar Industries Association - Solar PV Project of the Year
The Chicago Athenaeum: Museum of Architecture and Design - International Architectural Award
European Centre for Architecture Art Design and Urban Studies and The Chicago Athenaeum: Museum of Architecture and Design - Design Award","With dramatic views of Georgian Bay along the Great Lakes Heritage Coast in northern Ontario, this visitor center fits within the rugged landscape in a way that celebrates and respects the natural environment.
HOK’s design creates a facility strongly connected to its site in form and organization, enhancing the visitor experience by introducing natural light and carefully orchestrating the views. Glazing along the east and west facades is minimal, with windows strategically placed to create view connections between exhibits and the natural landscape.
Like the landscape below, the building evokes movement. Twisting volumes characterize an overall massing shaped by forces of the landscape. For example, a large vertical shift inside the building mirrors characteristics found in the site’s geomorphology. As if pushed by the Georgian Bay winds, the east and west elevations lean away from the water’s edge.
Sustainable design strategies include using the nearby Georgian Bay waters as a heating and cooling source, using stormwater runoff to maintain wetlands of indigenous plant species and specifying recycled and recyclable building materials. Designers strategically placed access roadways, parking and landscaping to preserve existing trees and vegetation."
Jean Canfield Building,"Charlottetown, Prince Edward Island, Canada",https://www.hok.com/design/service/architecture/jean-canfield-government-of-canada-building/,"LEED CERTIFICATION: LEED Gold

SIZE: 188,400  sq. ft. / 17,500 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture
Sustainable Consulting

AWARDS: Architects Association of Prince Edward Island - PEIs Lieutenant Governors Award of Excellence in Architecture
Canada Mortgage and Housing Corporation - CUI Brownie Awards
Canadian Solar Industries Association - Solar PV Project of the Year","As a pilot for a federal sustainability initiative, this is one of the most environmentally friendly buildings ever constructed by the Canadian government.
The design team transformed a contaminated urban site into a dynamic, environmentally friendly building that serves as a model for sustainable design. The project satisfies the federal government’s initiatives for sustainable development, connectivity and supportive work environments while giving Charlottetown a striking urban landmark.
Built within a conventional budget, the building delivers on a government initiative to embrace new technologies, methodologies, partners and means of delivering service to Canadians.
An integrated design approach helped the team close the gaps between sustainability, architecture and engineering. The team collaborated with government officials to maintain a “full facility viewpoint” equally responsive to the site, building and interior design. Through this collaborative process, the team developed solutions that function as true systems rather than integrated components.
The building’s south wing is skewed 45 degrees off the city’s grid to optimize solar exposure for the largest building-mounted photovoltaic array in Canada.
HOK designed the project in joint venture with PEI-based Bergmark Guimond Hammarlund Jones."
Carleton University Residence Commons Expansion,"Ottawa, Ontario, Canada",https://www.hok.com/design/service/architecture/carleton-university-residence-commons-expansion/,"SIZE: 41,000 sq. ft. / 3,800 sq. m.

SERVICES: Architecture
Interior Design","This three-story expansion to an existing 1969 commons building adds energy to Carleton University’s residential precinct.
HOK’s design team studied Carleton’s recent buildings and its nine student residences to explore how the expanded commons building should look, feel and function.
Viewed from the street, the exterior of the new building collides with the existing two-story structure, covering its outdated facade. An eye-catching glazed staircase conceals the loading docks. Inside, the original facade is exposed and connected by a main circulation path that bridges old and new spaces.
The use of brick complements the neighboring student residence buildings, while contemporary metals reflect the materials used in other campus structures. Large windows maximize natural light and create visual connections to the new urban plaza.
The expansion houses all of the food services, including a new 24/7 dining area, for the residential precinct. A multipurpose conference center on the second floor provides meeting space for the university community and can be rented to outside groups."
National Cancer Institute Research Campus,"Rockville, Maryland, USA",https://www.hok.com/design/service/architecture/national-cancer-institute-research-campus/,"LEED CERTIFICATION: LEED Gold

SIZE: 575,000 sq. ft. / 53,420 sq. m.

SERVICES: Architecture
Facility Programming
Graphic Design
Interior Design
Landscape Architecture
Master Planning

AWARDS: ASID Washington Metro Chapter - Best Commercial Office
NAIOP Maryland/DC - Award of Excellence - Best Suburban Office Over 4 Stories","The National Cancer Institute’s new campus consolidates more than 2,400 people engaged in pioneering cancer research.
NCI Shady Grove features two eight-story towers connected by a shared entry atrium with a green roof.
The three lower levels provide contiguous 86,000-square-foot floor plates. These areas house shared functions including a cafeteria, meeting rooms, a 500-seat auditorium, a conference center, a full-service fitness center, a data center and outdoor seating areas. 
The third through eighth floors in the two separate, but identical, towers have a 34,250-square-foot floor plate. The deep wall-to-core span provides flexibility for office layout.
Because NCI’s researchers prefer private offices, more than half of the workplaces are enclosed. To bring daylight into the center of the space, the design pulls many offices away from the exterior wall and arranges them in neighborhoods.
The lobby’s walls are lined by more than 2,000 square feet of LED backlit wood veneer panels that emit a soft, golden-brown glow. As people walk toward the elevator lobbies, they pass “living” walls of live plants.
The building’s high-performance, low-E glass reduces energy use while admitting daylight. Linked to the building’s automated exterior window shade system, the lighting system uses daylight sensors to harvest daylight and reduce the solar heat load.  
“This new facility has been designed to allow for easier renovations and new configurations to foster more scientific collaboration amongst NCI staff,” 
said Daryl Paunil, PE
, Director, NCI Office of Space and Facilities Management."
Barnes-Jewish + Wash U Center for Advanced Medicine,"St. Louis, Missouri, USA",https://www.hok.com/design/service/architecture/barnes-jewish-hospital-and-washington-university-school-of-medicine--center-for-advanced-medicine/,"SIZE: 650,000 sq. ft. / 60,385 sq. m.

SERVICES: Architecture
Interior Design
Landscape Architecture
Master Planning
Structural Engineering

AWARDS: Associated General Contractors of America - Project of the Year
em>Construction News and Review - Regional Excellence Award
em>Healthcare Design Magazine - Citation of Merit Design Award
Modern Healthcare / American Institute of Architects - Honorable Mention
em>Nursing Professionals Magazine - One of Top 100 Hospitals for Nurses
St. Louis Council of Construction Consumers - Construction Industry Cost Effectiveness Award","This multidisciplinary center integrates medical support services to deliver seamless care in an easy-to-navigate urban campus.
Anchoring the development of the North Campus, the Center for Advanced Medicine is structured around 17 clinical centers, including a women’s center and an ambulatory surgery center. Clinical programs include musculoskeletal, neuroscience, gastrointestinal, spine, cardiovascular and pulmonary specialties.
The center is a key part of the Campus Integration Project, a collaboration between BJC HealthCare and Washington University School of Medicine to consolidate adult patient services located across 32 locations into two distinct zones.
The Center for Advanced Medicine has been flexible to accommodate twice the number of visits originally planned."
Beijing Central Business District Block Z8,"Beijing, China",https://www.hok.com/design/service/architecture/beijing-central-business-district-block-z8/,"SIZE: 1.8 million sq. ft. / 167,225 sq. m.

SERVICES: Architecture","As part of a competition, HOK’s team designed these two slender towers – one a 60-story office, the other a hotel – on the main east-west road leading to the Forbidden City. 
Reimagining the typical tower arrangement of stacking a hotel above office space, the design places the elements as side-by-side structures, connected by an atrium.
A series of vertically organized, small-scale neighborhood courtyards links the buildings. Conceived as vertical “hutongs,” the spaces draw inspiration from the narrow alleys that have contributed to Beijing’s historic fabric.
Placed on the site to take advantage of natural daylighting and views, the towers provide extremely flexible floor plates. Structurally, the two towers are codependent, achieving their slenderness through the use of side-loaded cores that support large, open floor plates.
The structural design is a hybrid of steel and concrete construction, with the primary side-loaded cores composed of concrete, steel-braced frames around the atria. The 190-meter-tall hotel has flat concrete slab floor plates, while the 290-meter office tower has composite steel floor plates."
