Description,Info,Link,Location,Name,Type
"This 140,000 square foot Proteomics and Nanobiotechnology Building features a major imaging center for the campus, core facilities for therapeutics and diagnostics and for proteomics, laboratories and offices for faculty, staff and research assistants. The building  provides lab space for 16 principal investigators and their research groups working in the areas of chemistry, biology and engineering.  The facility is connected with both Pancoe-ENH and the Nanofabrication Center via pedestrian bridges, extending the reach of the above-ground walkways that link Northwestern’s science facilities.","Client: Northwestern University
Architects: AEI Inc., ZGF Architects LLP
Location: Chicago,  IL
Attributes: Higher Education, Research & Development, LEED Certified, Green Building, Education, Illinois",http://www.turnerconstruction.com/experience/project/29E/richard-and-barbara-silverman-hall-for-molecular-therapeutics-diagnostics,"Chicago, IL",Richard and Barbara Silverman Hall for Molecular Therapeutics & Diagnostics,research-development
"The SDSU Bioscience 3rd Floor Lab project is a 7,800 square foot tenant improvement to the third floor of the Bio Science Center at San Diego State University.  The new space includes four private offices, 20 office assistant work stations, 10 laboratory work benches, cold room, dark room, culture room, restrooms and other support spaces.","Client: San Diego State University
Architect: Pacific Cornerstone Architects
Location: San Diego,  CA
Attributes: Interiors, Laboratory, Pharmaceutical, Research & Development, California",http://www.turnerconstruction.com/experience/project/B13/sdsu-bioscience-3rd-floor-lab-tenant-improvements,"San Diego, CA",SDSU Bioscience 3rd Floor Lab Tenant Improvements,research-development
"The Robert E. Hemenway Life Sciences Innovation Center is a  212,200 square foot research center located on the main campus at the University of Kansas Medical Center. The building features BSL-3 labs/ research equipment, procedure rooms, 80 separate laboratories, conference center and office space. The building supports research in Biochemistry, Molecular Biology, Toxicology, Pharmacology, Neurosciences and Proteomics.","Client: Kansas State University
Architect: CannonDesign
Location: Kansas City,  KS
Attributes: Higher Education, Research & Development, Education, Kansas",http://www.turnerconstruction.com/experience/project/7F7/robert-e-hemenway-life-sciences-innovation-center-at-the-university-of-kansas-m,"Kansas City, KS",Robert E. Hemenway Life Sciences Innovation Center at the University of Kansas M,research-development
"The University of Texas at Dallas Founders Project is a renovation of the 40 year old building. It is a three-story, 129, 700 square foot facility that contains science labs, classrooms, lecture halls and faculty offices.
The building structure is perimeter grade beam and precast T’s with top deck of concrete.  The foundation is drilled piers and perimeter grade beams. The exterior wall is precast concrete panels with windows at set intervals.  The roof system is a built-up system with gravel ballast.
Though renovated, the building still reflects the original design of a 1970’s “Texas Instruments�?precast office structure with metal framed windows to preserve its history.","Client: The University of Texas at Dallas
Architect: F&S Partners
Location: Richardson,  TX
Attributes: Higher Education, Research & Development, Education, Texas",http://www.turnerconstruction.com/experience/project/263C/university-of-texas-at-dallas-renovations-to-founders-building,"Richardson, TX",University of Texas at Dallas - Renovations to Founders Building,research-development
"The NYU Center for Genomics and Systems Biology is a 70,000 square foot laboratory building that houses chemical biologists and theoretical bioinformaticians.

The project encompassed three buildings with historic masonry-bearing walls, facades, original wood floors and wood floor joists dating back to the late 1800’s. The historic facades was structurally reinforced and maintained as the buildings were restored and incorporated into the final design.

Phase I consisted of the demolition of the rear 75% of the existing buildings, deep excavation with extensive underpinning and erection of a new structure in their place.

Phase II consisted of the bracing of the facade to the new rear structure, the demolition of the front 25% of the existing buildings and the erection of a new structure their place.

Phase III consisted of the build out of laboratory, classroom space and an auditorium.  This project is the centerpiece of NYU’s Sciences Program.","Client: New York University
Architect: EYP Architecture & Engineering
Location: New York,  NY
Attributes: Laboratory, Pharmaceutical, Research & Development, Turner Logistics: Procurement Services, New York",http://www.turnerconstruction.com/experience/project/D88/nyu-center-for-genomics-and-systems-biology,"New York, NY",NYU Center for Genomics and Systems Biology,research-development
"The New Orleans Bioinnovation Center was conceived for biotechnology research & development, as well as the facilitation of economic growth in the local area.
The building includes approximately 70,000 square feet of space consisting of wet labs, incubators, offices, retail and 60 parking spots.","Client: New Orleans BioInnovation Center
Architect: Eskew + Dumez + Ripple
Location: New Orleans,  LA
Attributes: Pharmaceutical, Research & Development, LEED Certified, Green Building, Louisiana",http://www.turnerconstruction.com/experience/project/ZX6FB/new-orleans-bioinnovation-center,"New Orleans, LA",New Orleans BioInnovation Center,research-development
"The 120,000 square foot lab and office fitout was constructed on floors two through five in Bridgeside Point II, which Turner also completed. The fitout of this lab space is for the University of Pittsburgh Health Sciences Department. The labs include casework, glass washes, walk-in refrigerators/freezers etc.","Client: The Port of Pittsburgh Commission
Architect: Payette Associates
Location: Pittsburgh,  PA
Attributes: Interiors, Laboratory, Pharmaceutical, Research & Development, Pennsylvania",http://www.turnerconstruction.com/experience/project/DAB/bridgeside-point-ii-lab-fitout,"Pittsburgh, PA",Bridgeside Point II Lab Fitout,research-development
"MIT's Brain and Cognitive Sciences Complex is a 414,000 square foot, eight-story project which now serves as the headquarters for the Department of Brain and Cognitive Sciences, the McGovern Institute for Brain Research, and the Picower Institute for Learning and Memory. It is a research building housing wet and dry laboratories as well as animal facilities to support biology, biochemistry, behavioral and cognitive research. The three entities that occupy the building share a common auditorium, café, seminar rooms and a five-story day-lit atrium with a cable stayed skylight bringing natural light deep within the building.  The building is clad in Portuguese limestone with large glass windows and curtainwall.","Client: Massachusetts Institute of Technology
Architect: Goody Clancy
Location: Cambridge,  MA
Attributes: Higher Education, Research & Development, Green Building, Education, Massachusetts",http://www.turnerconstruction.com/experience/project/16E1/massachusetts-institute-of-technology-brain-cognitive-sciences-complex,"Cambridge, MA",Massachusetts Institute of Technology Brain & Cognitive Sciences Complex,research-development
,"Client: Castle & Cooke
Architect: Narmour Wright
Location: Kannapolis,  NC
Attributes: Higher Education, Research & Development, LEED Certified, Green Building, Education, North Carolina",http://www.turnerconstruction.com/experience/project/884/north-carolina-research-campus-rowan-cabarrus-community-college,"Kannapolis, NC",North Carolina Research Campus: Rowan Cabarrus Community College,research-development
"The Food and Drug Administration's Physics and Engineering Laboratory (Center for Devices and Radiological Health) is a 150,000 square foot  complex where medical devices are researched and developed.
This project, built with steel and concrete, includes sustainable elements such as a green roof and skylights that allow natural light into areas of the building that would normally receive none.
","Client: U.S. General Services Administration
Architect: KlingStubbins
Location: Silver Spring,  MD
Attributes: Building Information Modeling (BIM), Federal, Government, Green Building, Maryland",http://www.turnerconstruction.com/experience/project/6BC/fda-physics-and-engineering-laboratory-cdrh,"Silver Spring, MD",FDA Physics and Engineering Laboratory (CDRH),government
"The historical renovation and restoration of the 200,000 square foot, four-story State House Annex, originally constructed in 1929, included restoration of wood finishes -  walnut paneled courtrooms and wainscoting and trim are common in the space - refinishing of cast plaster ceilings and restoration of light fixtures and original murals.
Included in the project were a pedestrian tunnel and a three-level, 1,100-space parking garage. One level of the concrete reinforced structure was constructed underground, with the two upper levels above ground. The top of the parking garage was landscaped into a park, giving the appearance of open space from the street.","Client: New Jersey Building Authority
Architect: Ford Farewell Mills and Gatsch
Location: Trenton,  NJ
Attributes: Government, New Jersey",http://www.turnerconstruction.com/experience/project/2B22/new-jersey-state-house-complex,"Trenton, NJ",New Jersey State House Complex,government
"The 10,000 square foot North Mountain Visitor Center includes a display area, classroom space, a multi-purpose area, reception area, work/resource room, an outdoor amphitheatre and restrooms. Site features include 200 parking spaces and three horse trailers.","Client: The City of Phoenix, Arizona
Architect: Douglas Architecture and Planning
Location: Phoenix,  AZ
Attributes: Government, Arizona",http://www.turnerconstruction.com/experience/project/F43/city-of-phoenix-north-mountain-visitor-center,"Phoenix, AZ",City of Phoenix North Mountain Visitor Center,government
"The Warrensville Heights Branch of the Cuyahoga County Library is a 25,000 square foot,  single-story library. It is the first project of Cuyahoga County Library’s $50 million  renovation and expansion program which will take place over the next decade.
Turner assisted the library system in 2009 with the development of their master plan program to address their renovations and addition to their 28-library system.","Client: Cuyahoga County Public Library
Architect: Holzeimer Bolek
Location: Warrensville Heights,  OH
Attributes: Government, LEED Certified, Green Building, Ohio",http://www.turnerconstruction.com/experience/project/2E08/cuyahoga-county-library-warrensville-heights-branch,"Warrensville Heights, OH","Cuyahoga County Library, Warrensville Heights Branch",government
"This project included the construction of a new 160,000 square foot administration complex for Indian River County. The scope of work consisted of the construction of two buildings: Building A: Board of Commissioners Building - This building included the construction of a 97,000 square foot, 2-story building. The scope of work consisted of offices, conference rooms, kitchen and break areas, a cafeteria, open work areas for systems furniture and a raised floor system. Building B: General Services Building - This building included the construction of a 62,000 squrae foot 2-story building. The scope of work consisted of offices, conference rooms, kitchen and break areas and a raised floor system. The whole project was developed on a 17 acre site.","Client: Indian River County, Florida
Architect: Donadio & Associates
Location: Vero Beach,  FL
Attributes: Government, Florida",http://www.turnerconstruction.com/experience/project/93/indian-river-county-admin-complex,"Vero Beach, FL",Indian River County Admin Complex,government
,"Client: The City of Seattle, Washington
Architect: Snyder, Hartung, Kane & Strauss
Location: Seattle,  WA
Attributes: Government, Interiors, Police/Fire Station, LEED Certified, Green Building, Washington",http://www.turnerconstruction.com/experience/project/9F6/city-of-seattle-police-support-facility,"Seattle, WA",City of Seattle Police Support Facility,government
"This electrical substation for the City of Anaheim was part of a joint venture and helps to avoid blackouts in the event of a heat storm. It is built to strengthen the power infrastructure of the Anaheim Hills area and was placed into the hillside.
The 14,300 square foot building operates underground and houses two 90-ton transformers, switchgear and electrical equipment. A 2.7-acre neighborhood park with landscaping, planters and a courtyard is above the substation.","Client: The City of Anaheim, California
Architect: Melzer, Deckert & Ruder Architects
Location: Anaheim,  CA
Attributes: Government, Design+Build, California",http://www.turnerconstruction.com/experience/project/DED/electrical-substation-roosevelt-park,"Anaheim, CA",Electrical Substation & Roosevelt Park,government
"Cinder Bed Road Bus Garage is a 76,500 square foot facility with space for 160 buses. The project includes site re-development consisting of stormwater bypasses, an access road and bridge into the site, entry site utilities, site grading/retaining walls, and  reforestation.  The project also includes extending site utilities from the site entry to the added buildings, a Maintenance Building (one-story, high bay) connected to an Operations Building (two-story) with outlying buildings (one-story) for bus wash and bus fueling.","Client: Washington Metropolitan Area Transit
Architect: Wendell Duchscherer
Location: Newington,  VA
Attributes: Building Information Modeling (BIM), Government, Lean Construction, Design+Build, Virginia",http://www.turnerconstruction.com/experience/project/2AC8/cinder-bed-road-bus-garage,"Newington, VA",Cinder Bed Road Bus Garage,government
"The courthouse provides housing for the U.S. District and Bankruptcy Courts, as well as offices for the U.S. Marshals, Probation/Pretrial Services, the Federal Public Defender, U.S. Trustees and other tenants. The eight-story, 346,000 square foot building includes 64 parking spaces underground. The project earned a LEED Silver Certification.
","Client: U.S. General Services Administration
Architect: Robert A.M. Stern Architects LLP
Location: Richmond,  VA
Attributes: Building Information Modeling (BIM), Courthouse, Federal, Government, Justice, LEED Certified, Green Building, Virginia",http://www.turnerconstruction.com/experience/project/2AE/spottswood-w-robinson-iii-and-robert-r-merhige-jr-us-courthouse,"Richmond, VA",Spottswood W. Robinson III and Robert R. Merhige Jr. US Courthouse,government
"Kenton County Detention Center is a single story, 630-bed jail for the Kenton County Fiscal Court. The 160,000 square foot facility is twice the size of the original jail, with room for a 300-bed expansion. Modeled after a detention center in Florida, the facility has the latest in technology programming, and a direct supervision style aimed at improving safety and reducing operational costs. Prisoners are housed in six, 70-person bays or dormitory-style areas, each with its own tables, bunks, and chairs and an enclosed recreation area.
","Client: Kenton County, Ohio
Architect: Brandstetter Carroll
Location: Covington,  KY
Attributes: Government, Jail, Justice, Turner Logistics: Procurement Services, Facilities Management Solutions, Kentucky",http://www.turnerconstruction.com/experience/project/DC0/kenton-county-detention-center,"Covington, KY",Kenton County Detention Center,government
"This 480-bed, 165,000 square foot detention center has an attached service area containing a laundry, kitchen and medical support area. The project was constructed of precast with a brick veneer and suspended bridge connecting it to the sheriff's administration building and annex detention facility.","Client: Cabarrus County, North Carolina
Architect: Ware Bonsall Architects
Location: Concord,  NC
Attributes: Government, Jail, Justice, North Carolina",http://www.turnerconstruction.com/experience/project/866/cabarrus-county-detention-housing-facility,"Concord, NC",Cabarrus County Detention Housing Facility,government
"The California Public Employees' Retirement System Headquarters building is a 550,000 square foot office complex with retail space, residential housing and an undeground parking structure. The project was awarded LEED Gold Certification.","Client: California Public Employees Retirement System
Architects: Kendall Heaton Associates Inc., Pickard Chilton Architects
Location: Sacramento,  CA
Attributes: Government, LEED Certified, Green Building, California",http://www.turnerconstruction.com/experience/project/D8E/calpers-headquarters-expansion,"Sacramento, CA",CalPERS Headquarters Expansion,government
"The site-adapt, design-build project for the County of Los Angeles included two 120 bed housing units, approximately 37,000 square feet each, infrastructure/utility improvements, and the addition of an 85-space parking structure.
On-time delivery of the Los Padrinos Juvenile Hall project was of upmost importance to the client. To ensure client satisfaction, the project team focused on meeting this goal and was able to absorb 73 days in project delays caused primarily by rain and deliver the project on schedule.
In addition to the schedule success, the project was awarded the Liberty Mutual Gold Award for Outstanding Safety Performance.","Client: Los Angeles County Department of Public
Architect: gkkworks
Location: Downey,  CA
Attributes: Government, Design+Build, California",http://www.turnerconstruction.com/experience/project/E96/los-padrinos-juvenile-hall,"Downey, CA",Los Padrinos Juvenile Hall,government
"This distinctive, 75,000 square foot building reflects the Romanesque Architectural Character of Arlington Heights. Paving bricks surround the campus grounds, which add a unique touch to the front entrance and outside walkways. Visitors are greeted with a six-story vaulted ceiling entrance with chandelier, double doors and floor-to-ceiling exposed brick and limestone walls. Stained oak trim throughout the building, granite ledges and countertops and glass panel railings add to the facility’s attractive appeal. Natural light from clerestory windows and skylights highlight the indoor street atrium which connects the Village Hall with the parking structure.
The open floor plan provides a typical office atmosphere with reception areas, cubicles and offices. Numerous conference rooms, fully equipped with audio/visual equipment, now offer the much needed meeting space that was previously lacking. Each floor was designed with functionality in mind, depending on the needs of various departments.","Client: The Village of Arlington Heights, Illinois
Architect: FGM Architects
Location: Arlington Heights,  IL
Attributes: Government, Illinois",http://www.turnerconstruction.com/experience/project/11CB/arlington-heights-village-hall,"Arlington Heights, IL",Arlington Heights Village Hall,government
"The Operations Support and Lifestyle Center and Roybal Campus Infrastructure Upgrade project supports a variety of needs for the Center for Disease Control.
This project included a 95,000 square foot office building, upgraded utility/security services and an improved southeast staff entrance. This facility serves as a central location for hazardous waste and radiation processing/storage.","Client: CDC
Architect: tvsdesign
Location: Atlanta,  GA
Attributes: Federal, Government, Commercial, Georgia",http://www.turnerconstruction.com/experience/project/67F/center-for-disease-control-operations-support-and-lifestyle-center,"Atlanta, GA",Center for Disease Control Operations Support and Lifestyle Center,government
,,http://www.turnerconstruction.com/experience/project/15B/training-and-doctrine-command-tradoc-headquarters,"Fort Eustis, VA",Training and Doctrine Command (TRADOC) Headquarters,government
"
The City of Dearbon Parking Structures include two, five level parking decks with 338 spaces and located approximately 400 feet apart from one another. The decks are precast structures resting on piles and cast-in-place concrete footings. Each deck has one enclosed stair tower with a hydraulic five-stop elevator and one open stair tower. The stair towers are topped with a standing seem metal roof and aluminum windows at the exterior.","Client: The City of Dearborn, Michigan
Architect: Rich & Associates, Inc.
Location: Dearborn,  MI
Attributes: Government, Parking, Michigan",http://www.turnerconstruction.com/experience/project/116B/city-of-dearborn-parking-structures,"Dearborn, MI",City of Dearborn Parking Structures,government
"This municipal project for the City of Arvada, CO consisted of a 5,600 square foot core and shell addition to the third floor, a 500 square foot remodel of the first floor lunchroom, a 1,500 square foot remodel and expansion of the police dispatch on the second floor including the rework of the Parks Department into a Training Center.
This project also included a 3,000 square foot remodel of the Legal Department for Human Resources, the expansion of Community Development into the second floor Fitness Area, tenant improvements on the new third floor expansion for Parks & Legal, and reconfiguration of the third floor City Manager's Office and Human Resources area.
","Client: The City of Arvada, Colorado
Architect: the abo group, inc.
Location: Arvada,  CO
Attributes: Government, Design+Build, Colorado",http://www.turnerconstruction.com/experience/project/128D/arvada-city-hall-expansion,"Arvada, CO",Arvada City Hall Expansion,government
"This 25-story, 950,000 square foot office building serves as the headquarters for the California Environmental Protection Agency. The project features a daycare center, central cafeteria, public auditorium and bicycle space. Green features include solar panels and energy efficient performance.","Client: The City of Sacramento, California
Architect: Interior Architects
Location: Sacramento,  CA
Attributes: Government, LEED Certified, Green Building, California",http://www.turnerconstruction.com/experience/project/DD2/joe-serna-jr-california-epa-headquarters-building,"Sacramento, CA","Joe Serna, Jr. California EPA Headquarters Building",government
"Work done on the Richard J. Hughes Justice Complex included 3 separate projects. The first project included full replacement of the atrium glass and addition of a metal detection system. The design and location of the metal detection system within the Atrium had to be as inconspicuous as possible. The second project included a 75,000 square foot total roof replacement. The third project included renovation of the parking garage. The garage has two stories of below-grade parking with 403 parking spaces.","Client: The State of New Jersey Building Authority
Architect: EI Associates
Location: Trenton,  NJ
Attributes: Government, Interiors, New Jersey",http://www.turnerconstruction.com/experience/project/29A6/richard-j-hughes-justice-complex,"Trenton, NJ",Richard J. Hughes Justice Complex,government
"The Juvenile Justice Center located  is a 205,000 square foot, 125 bed detention facility that includes a complete juvenile court and support offices. The facility was constructed in the downtown area with an extremely tight construction staging area.
","Client: Lucas County
Architect: HAHN & HAYES, INC.
Location: Toledo,  OH
Attributes: Government, Ohio",http://www.turnerconstruction.com/experience/project/1363/juvenile-justice-center,"Toledo, OH",Juvenile Justice Center,government
"Sierra College's three-story, 60,000 square foot classroom building accommodates 3,000 students. The facility houses classrooms and provides labs and offices for faculty and instructional assistants.
","Client: Sierra College
Architect: Lionakis
Location: Rocklin,  CA
Attributes: Higher Education, Classroom / Adminstration Building, Lean Construction, Education, California",http://www.turnerconstruction.com/experience/project/E1D/sierra-college-new-classroom-building,"Rocklin, CA",Sierra College New Classroom Building,education
"The 465,000 square foot, 3,000-student Metea Valley High School, includes flexible teaching and learning centers situated as separate wings of the school and organized by grade and department into small learning communities. At the core of the academic wings is a 12,680 square foot media center. This space contains computer labs, forum rooms and a technology lab and also has two adjoining enclosed courtyards allowing for natural light to enter the area. Students�?locker bays and resource rooms are also near to the media center and allows for a relaxed area during free periods. The high school also contains an auditorium, competition gymnasium and natatorium.  The exterior of the building includes athletic fields, tennis courts, outdoor courtyards and a football stadium.","Client: Confidential
Architect: DLR Group
Location: Aurora,  IL
Attributes: High School, Education, K-12, Illinois",http://www.turnerconstruction.com/experience/project/1B8/metea-valley-high-school-indian-prairie-school-district-204,"Aurora, IL","Metea Valley High School, Indian Prairie School District 204",education
"The 135,000 square foot, seven-story combined residential / academic building at Northeastern's West Campus serves as a new home for the John D. O’Bryant African American Institute and provides 230 student beds, eight classrooms for general use on the first, second and basement levels and program offices for the University’s Honors Department and the O’Bryant Institute.  The residence hall portion of the building includes 42 apartment-style dwelling units, lounge and study areas, as well as facilities customarily ancillary to residential uses.","Client: Northeastern University
Architect: William Rawn Associates, Architects
Location: Boston,  MA
Attributes: Higher Education, Classroom / Adminstration Building, Education, Massachusetts",http://www.turnerconstruction.com/experience/project/16CB/northeastern-university-west-campus-residence-hall-building-f,"Boston, MA",Northeastern University West Campus Residence Hall Building F,education
"This interior fitout included 15,000 square feet of biomedical research lab space and some office space for Stemnion, a regenerative medicine company focused on the research, development, and clinical use of therapeutic products obtained from amnion-derived, non-embryonic stem cells also known as placental stem cells.  The project included a 2,700 square foot, Class 10,000 clean room with a dedicated AHU and emergency generator, and a new walk in freezer.  This project had a very aggressive schedule, which required very close monitoring to ensure project deadlines were made.","Client: Stemnion
Architect: Bohlin Cywinski & Jackson
Location: Pittsburgh,  PA
Attributes: Higher Education, Interiors, Research & Development, Education, Pennsylvania",http://www.turnerconstruction.com/experience/project/E47/stemnion-lab-fitout,"Pittsburgh, PA",Stemnion Lab Fitout,education
"This 16,000 square foot dining hall with outdoor seating area on the roof included building construction, interior fit-out, landscape and hardscape work. The dining hall serves the residents of the Falcon Heights and Centennial Residence Halls.","Client: Capstone Development Corporation
Architect: DesignGroup
Location: Bowling Green,  OH
Attributes: Higher Education, LEED Certified, Green Building, Design+Build, Education, Ohio",http://www.turnerconstruction.com/experience/project/8EE/bowling-green-state-university-carillion-place-dining-center,"Bowling Green, OH","Bowling Green State University, Carillion Place Dining Center",education
"The West Campus Residence Hall E complex is made up of student housing and a parking garage.  The building footprint occupies 55,000 square feet and the total built-out space totals 343,800 square feet.  The Parking Garage occupies three floors above grade and has 300 spaces.  The student housing facility is an eight-story; 113,790 square foot building that contains 270 beds, 90 efficiencies and 45 apartments. Turner self-performed all concrete work on this project.","Client: Northeastern University
Architects: Rothman Partners, Kyu Sung Woo Architects
Location: Boston,  MA
Attributes: Dormitory, Higher Education, Education, Massachusetts",http://www.turnerconstruction.com/experience/project/16D3/northeastern-university-west-campus-residence-hall-building-e,"Boston, MA",Northeastern University West Campus Residence Hall Building E,education
"The 67,000 square foot, single-story, Odessa Upper Elementary School was constructed on a Greenfield site with ground source heating. The school was divided into three neighborhoods for the third, fourth and fifth grades, and each neighborhood included eight classrooms and an activity area. The neighborhoods share the centrally-located media center, cafeteria, computer labs, music room and gymnasium, as well as the discovery central for developmentally delayed children. Positioned between the gymnasium and cafeteria is a stage, which can be closed off for smaller meetings in the cafeteria or for class assemblies that will need a large venue such as the gymnasium.
Also included were softball and baseball fields, tennis courts, a concessions building and parking areas for the High School.","Client: Odessa R-VII School District
Architect: Hollis + Miller Architects
Location: Odessa,  MO
Attributes: Green Building, Education, K-12, Missouri",http://www.turnerconstruction.com/experience/project/1EA1/odessa-upper-elementary-school,"Odessa, MO",Odessa Upper Elementary School,education
"This project includes the construction of a 40,000 square foot, two-story medical arts vocational school. The scope of work includes classrooms, kitchen/break room, teaching labs, conference rooms and other related office space.","Client: Polk County Public School District
Architect: Harvard Jolly
Location: Bartow,  FL
Attributes: High School, Education, K-12, Florida",http://www.turnerconstruction.com/experience/project/6B7/ridge-medical-arts-building,"Bartow, FL",Ridge Medical Arts Building,education
"New high school built on a 59-acre green-field site.  This 208,696 square foot high school accommodates 1,200 students.  The core support facilities include cafeteria/kitchen, auditorium, gymnasium and library and are sized to support 1,500 students.  Construction involved sitework, excavation and foundations, masonry, structural steel, roofing, windows and storefront, HVAC, plumbing, electrical, sprinkler, elevator, and interiors trades.    The classrooms are separated into smaller wings for 9
/10
grade and 11
/12
.
The project also included a Science and Technology Wing that provides additional space for both students and adults and includes a television studio, forensics lab and print technology.","Client: Jefferson County School District
Architect: Alpha Associates Inc.
Location: Charles Town,  WV
Attributes: High School, Education, K-12, West Virginia",http://www.turnerconstruction.com/experience/project/1029/washington-high-school,"Charles Town, WV",Washington High School,education
"The University of North Carolina Center for Nutrition Research Institute consists of 127,500 square feet and is constructed of Steel Structure with a highly fenestrated brick veneer, cast stone and fiber reinforced plastic accents. The University of North Carolina Laboratory Building features research laboratories, lab support areas, a metabolic kitchen, clinical facilities and a cognitive assessment suite.
The occupants' research will focus on examining the relationship between nutrition and the brain, obesity, and cancer.


","Client: Castle & Cooke
Architect: Narmour Wright
Location: Kannapolis,  NC
Attributes: Higher Education, LEED Certified, Green Building, Education, North Carolina",http://www.turnerconstruction.com/experience/project/872/north-carolina-research-campus-university-of-north-carolina-nutrition-research,"Kannapolis, NC",North Carolina Research Campus: University of North Carolina Nutrition Research,education
"The Allen Institue for Brain Science involved a 20,000 renovation of an office facility to create research labs and office support space. The scope of work allows the Allen Institute to combine the disciplines of neuroscience and genomics to create a map of the mammalian brain at the cellular level.","Client: Vulcan Inc.
Architect: ZGF Architects LLP
Location: Seattle,  WA
Attributes: Higher Education, Interiors, Research & Development, Education, Washington",http://www.turnerconstruction.com/experience/project/B47/allen-institute-for-brain-science,"Seattle, WA",Allen Institute for Brain Science,education
"Inflated to a size of 4,355,288 cubic feet and supported by a dual fan, redundant air handler, the Indoor Athletic Practice Facility is a 410 foot long and 210 foot wide, 75 foot tall air-supported structure featuring a 1,000 square foot welcome center and 100-space parking lot.

The approximately 86,000 square feet of interior space can be configured into football, soccer, baseball and softball fields for Eastern Michigan University and local Ypsilanti community sports leagues.

The facility is the only one of its kind in Michigan and the Upper Midwest. Three million pounds of concrete securely anchor the dome and counteract the uplift pressure of 1,700 pounds per feet.

The Indoor Athletic Practice Facility was the winner of the 2011 Washtenaw Contractors Association (WCA) Pyramid Award for Best Project Team - an independent testiment to how well the entire team worked together to acheive overall success.","Client: Eastern Michigan University
Architect: BEI Associates
Location: Ypsilanti,  MI
Attributes: Higher Education, Sports, Education, Michigan",http://www.turnerconstruction.com/experience/project/23BB/eastern-michigan-university-indoor-athletic-practice-facility,"Ypsilanti, MI","Eastern Michigan University, Indoor Athletic Practice Facility",education
,"Client: ITT Technical Institute
Architect: Hunton Brady Architects
Location: Orlando,  FL
Attributes: Higher Education, Education, Florida",http://www.turnerconstruction.com/experience/project/69E/itt-technical-institute,"Orlando, FL",ITT Technical Institute,education
"The Shiley Hall project for the University of Portland is a 30,000 square foot addition and 44,000 square foot renovation seamlessly tied to the School of Engineering building originally built in 1942.
Shiley Hall is now one of 15 buildings in Portland to earn LEED Platinum certification. The building's sustainable elements include an eco-roof above an open computer lab, a bio-swale outside of the student center, wind cowls on the roof collecting fresh air, countertops made of recycled compressed paper and energy efficient water fixtures reducing water consumption by 47 percent.
The hall features interactive “smart�?classrooms equipped with audio-visual systems, numerous labs and lecture halls along with faculty offices and conference rooms. And with its location in the central part of the campus, sensitivity to student, faculty and staff activities were closely monitored to keep disruptions at a minimum during construction.
The project has been recognized for its excellence in sustainability:","Client: The University of Portland
Architect: Soderstrom Architects, Ltd.
Location: Portland,  OR
Attributes: Higher Education, Classroom / Adminstration Building, LEED Certified, Green Building, Education, Oregon",http://www.turnerconstruction.com/experience/project/16A1/university-of-portland-shiley-hall,"Portland, OR",University of Portland Shiley Hall,education
"The iconic Florida International University Law School is a 152,000 square foot three-story building that was designed to emulate traditional law school architecture while asserting a unique South Florida character through inventive sitting areas, maximizing exterior views, and natural lighting throughout the building.
The building is comprised of a Grand Reading Room, large and small courtrooms, classrooms, an auditorium, a library, and administrative areas.","Client: Florida International University
Architect: Robert A.M. Stern Architects LLP
Location: Miami,  FL
Attributes: Higher Education, Classroom / Adminstration Building, Education, Florida",http://www.turnerconstruction.com/experience/project/BDD/florida-international-university-school-of-law,"Miami, FL",Florida International University - School of Law,education
"This project included an addition to an existing four-story library that stayed in operation throughout construction. The addition is the same structure/skin, updated to address program needs. The renovation brought the project in line with University needs. Computer center with data ports are located on the second floor.","Client: The University of North Florida
Architect: Rink Reynolds Diamond Fisher Wilson
Location: Jacksonville,  FL
Attributes: Higher Education, Interiors, Green Building, Turner Logistics: Procurement Services, Education, Florida",http://www.turnerconstruction.com/experience/project/1A3A/university-of-north-florida-thomas-g-carpenter-library-addition-and-renovation,"Jacksonville, FL",University of North Florida Thomas G. Carpenter Library Addition and Renovation,education
"The Merck/Rosetta project supports research and production facilities, information/data systems as well as Rosetta's independent Biosoftware Group. Features include video conference and training rooms, a workshop, a cafe, meeting room and employee break rooms on each floor.","Client: Merck & Co., Inc.
Architect: MBT Architecture
Location: Seattle,  WA
Attributes: Higher Education, Research & Development, Education, Washington",http://www.turnerconstruction.com/experience/project/402/merckrosetta,"Seattle, WA",Merck/Rosetta,education
"



","Client: Yuma Union High School District
Architect: Emc2 Architects
Location: Yuma,  AZ
Attributes: High School, Education, K-12, Arizona",http://www.turnerconstruction.com/experience/project/F50/kofa-high-school,"Yuma, AZ",Kofa High School,education
"The Cheektowaga - Sloan Union Free School District called for additions and renovations for three schools in the district. The Theodore Roosevelt Elementary School added classrooms, parking lots and site improvements. Woodrow Wilson Elementary school required parking lots, a cafeteria and classroom upgrades.
Lastly, the John F. Kennedy Junior/Senior High School added a 40,000 square foot complex with a pool, gym, music room, track, tennis courts and press box.","Client: Cheektowaga-Sloan School District
Architect: Gordon W. Jones Associates
Location: Sloan/Buffalo,  NY
Attributes: Education, K-12, New York",http://www.turnerconstruction.com/experience/project/1820/cheektowaga-sloan-union-free-school-district,"Sloan/Buffalo, NY",Cheektowaga - Sloan Union Free School District,education
