Titles,Location,Client,Type,Info,Leader,Introduction
Washington Park Redevelopment,"Cincinnati, OH",Cincinnati Park Board,"BIM / 3D Visualization
Bridges, Roads &amp; Highways
Civil Engineering
Civil Infrastructure
Engineering
Geomatics / Land Surveying
Master Planning
Parking
Parks
Planning &amp; Urban Design
Site Development
Water / Wastewater
Water Resources Management","Area: 8 acres
Completed: 2012","Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure","IBI Group provided surveying and civil engineering services for the renovation and expansion of a historic Cincinnati landmark, Washington Park. The Park restoration included construction of a 450-car, underground parking garage, expansion of the urban park from 6 to 8 acres, a large concert lawn, one-acre interactive fountain, a large custom playscape, and updates to existing facilities. "
"Dementia Friendly Care Ward, Croydon University Hospital","London, UK",Croydon Health Services NHS Trust,"Architecture
Education
Healthcare
Healthcare+
Higher Education
Interiors
Mental Health Care
Project / Programme Management","Completed: July 2014
Area: 2,473 sq m",Denise Medcraff: Studio Principal,"Funded through the UK Government's ""Improving the Environment of Care for People with Dementia"" initiative, this IBI-designed scheme enabled a positive shift in the model of care being delivered by the National Health Service (NHS) at Croydon University Hospital for dementia patients and their families."
Cincinnati Reds Urban Youth Academy,"Cincinnati, OH",Cincinnati Reds Community Fund,"Civil Engineering
Civil Infrastructure
Geomatics / Land Surveying
Land Use Planning
Planning &amp; Urban Design
Site Development
Stadium / Athletic Facilities
Water Resources Management","Location: 2014
Area: 35 acres","Mike Murray PE LEED AP: Associate Director | Office Lead, Ohio","Serving the children of Cincinnati, the Reds Urban Youth Academy retained IBI Group to provide surveying and civil engineering services for the full redevelopment of their 35-acre facility at Roselawn Park."
Bridgeland High School,"Cypress, TX",Cypress-Fairbanks ISD,"BIM / 3D Visualization
Interiors
Project / Programme Management",Completed: 2017,"Mark French: Director | US Deputy Education Lead, Buildings","IBI Group provided a full scope of services for this new, prototype high school which serves approximately 3,300 students, and is part of a larger educational village featuring secondary, middle, and elementary schools co-operating in close proximity with a number of shared resources. "
Metro Green Line Extension,"Norwalk, Santa Fe Springs, CA",The Southern California Association of Governments (SCAG),"Active Transportation
Architecture
Civil Engineering
Environmental Assessment
Land Use Planning
Landscape Architecture
Light Rail Transit
Mixed Use
Mobility Hub
Mobility+
Multi-Modal Transportation
Placemaking
Planning &amp; Urban Design
Public Outreach
Spatial Intelligence
TOD
Transit Planning
Transportation
Transportation Engineering
Transportation Planning","Status: Ongoing
Length: 2.8 miles","David Chow: Director | US P3 and Mobility+ Lead
Steve Schibuola: Director | Sr. Principal, Transportation Engineering","To identify and evaluate feasible alternatives for extending the Metro Green Line LRT from its current terminus at the Norwalk/I-605 Station to the Norwalk/Santa Fe Springs Metrolink Commuter Rail station, IBI Group completed an analysis of regional and local travel patterns to outline how completing a critical link in the regional rail system would benefit the region. "
Yale University School of Management,"New Haven, CT",Yale University,"Approvals
Architecture
Design and Contract Documents
Education
Higher Education
Implementation/Construction Phase Services
Learning+","Completed: 2014
Area: 230,000 sq ft
LEED: Gold","Rachel DeWitt: Associate Director, Sub-Sector Lead","In association with Foster + Partners, IBI Group acted as Architect of Record on the design of a major, new, modern campus for the Yale School of Management."
El Museo Del Barrio,"Manhattan, NY",NYC Department of Design and Construction,"Architecture
Civic &amp; Government
Heritage / Historic Preservation
Interiors
Project / Programme Management","Size: 25,000 sq ft
Completed: 2009",,"Seeking to open a new face on NYC's Museum Mile, IBI Group designed the renovation for El Museo Del Barrio, a prominent Hispanic organization located in the historic Heckscher Building."
West Campus University District,"Calgary, AB",West Campus Development Trust,"BIM / 3D Visualization
Education
Green
Higher Education
Landscape Architecture
Master Planning
Mixed Use
Planning &amp; Urban Design
Public Outreach",Status: Ongoing,"Keith Sallaway: Director, Architect
Elvin Karpovich: Director, Planning and Landscape Architecture",IBI Group is leading landscape architecture and urban design for this 100+ hectare open space master plan located immediately west of the University of Calgary campus.
20 Pine,"New York, NY",Boymelgreen Development,"Architecture
Heritage / Historic Preservation
High Rise Residential
Interiors
Living+
Project / Programme Management
Residential
Retail","Size: 680,000 sq ft
Storys: 38
Units: 409",,"IBI Group completed the adaptive reuse of a 38-story, New York City commercial tower which was built in the 1920's, into residential condominium units with several floors of amenities. 20 Pine Street illustrates the potential rebirth of a historic building into a new, contemporary home for New Yorkers and the social realignment of the financial district into a vital, 24/7 community."
University of Waterloo Applied Health Sciences Addition,"Waterloo, ON","Melloul Blamey Construction Inc., University of Waterloo","Architecture
Design and Contract Documents
Implementation/Construction Phase Services
Interiors
Landscape Architecture","Size: 63,000 sq ft
Completed: 2016","Neil Munro: Associate Director | Practice Lead, Architecture
Stephen Donnelly: Associate | Manager, Architecture
Paula Margaritis: Associate | Manager, Interior Design","As architect of record, IBI provided full architectural services on a 4-storey addition connecting three prominent health science buildings on the University of Waterloo campus."
UTC@MediaCityUK,"Salford Quays, UK",BAM Construction North West,"Architecture
BIM / 3D Visualization
Design Build
Education
Green
K-12 Education
Learning+
Planning &amp; Urban Design
Specialized Learning",Completed: 2014,Sue Chadwick: Studio Director,"Acting as lead consultant, IBI Group provided architecture and planning for this landmark learning centre catering to 14-19 year olds from Greater Manchester interested in emerging creative, media, and digital industries. "
RTD FasTracks,"Denver, CO",Denver Regional Transportation District,"Architecture
BIM / 3D Visualization
Economic / Financial Analysis
Environmental Assessment
Land Use Planning
Light Rail Transit
Mobility+
Multi-Modal Transportation
Parking
Policy &amp; Design Guidelines
Project / Programme Management
Research &amp; Development
Transit Facilities
Transportation",,,"IBI Group successfully planned and designed 23 LRT and Commuter Rail stations and station areas of the Denver Regional Transportation District's (RTD) FasTracks Program. Many of the stations are in revenue service, including the 12.1-mile West Rail LRT that includes 12 of these stations and an 820-car parking structure integrated into the end-of-line, multi-modal Jefferson County Government Center station. "
Blackpool Gateway Academy School,"Blackpool, UK",Eric Wright Construction Limited,"Architecture
BIM / 3D Visualization
Brownfield Development
Education
Green
K-12 Education
Learning+
Placemaking
Planning &amp; Urban Design
Project / Programme Management","BREEAM: Very Good
Completed: 2013",,"This two-storey, brownfield primary school provides educators with thoughtfully fit-for-purpose learning environments, with capacity for 420 pupils (ages 5- 11), and 26 nursery children. "
Glenorchy Transformer Station,"Oakville, ON",Oakville Hydro,"Civil Engineering
Design and Contract Documents
Electrical Engineering
Energy
Environmental Assessment
Mechanical Engineering
Project / Programme Management
Structural Engineering
Systems Engineering",Completed: 2012,Mark Bendix: Director | Office Lead,"Serving residents in north Oakville, Glenorchy Transformer Station supplies up to 153 MW of energy to local electricity consumers and has supported the rapid residential growth in the area. IBI provided complete design and construction support services for the transformer station in one of the fastest construction projects of its type in the province."
L’Avenue,"Montréal, QC",Broccolini,"Architecture
High Rise Residential
Living+
Mixed Use
Office
Retail","Storeys: 50
Completed: 2017","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Titka Seddighi: Associate Director | Practice Lead, Architecture
Calin Caliman: Associate | Manager, Architecture","This 50-storey, mixed-use tower is the tallest residential building in Montréal, and was recognized for bringing revitalization to the downtown core. Designed by IBI Group, the stepped form of the tower ensures that most units in the building have a view of either the St. Lawrence River to the south or of Mount Royal to the north."
George Brown College,"Toronto, ON",George Brown College,"Architecture
Design and Contract Documents
Interiors",Completed: 2016,"Stephen Donnelly: Associate | Manager, Architecture","IBI Group provided full architectural and interior design services for this 40,000 square foot renovation to the college's 105-year old campus building located in downtown Toronto.  "
CASA Centre Educational Facility,"Edmonton, AB","CASA Child, Adolescent & Family Mental Health","Architecture
Education
Engineering
Healthcare
Interiors
Mental Health Care",Completed: 2016,Peter Bull: Director,"IBI Group performed the architecture, interior design, civil engineering, and landscape architecture services for this innovative learning/therapy environment catering to a wide variety of ages from toddlers to adolescents who are facing unique mental health challenges."
Flex-N-Gate,"Detroit, MI",Flex-N-Gate Corporation,"Architecture
Civil Engineering
Design and Contract Documents
Electrical Engineering
Interiors
Manufacturing
Mechanical Engineering
New Projects
Project / Programme Management
Structural Engineering","Facility Size: 700,000 sq ft
Completion: 2018","Todd Hoisington: Director | US Industrial Lead, Buildings
Mark Woloszyk: Associate | Industrial Engineer","With full architectural and engineering solutions from IBI, the new Flex-N-Gate office and facility is bringing many benefits to the city of Detroit, including new jobs and forward-thinking solutions in auto parts manufacturing."
Greenbury,"Spruce Grove, AB",Beaverbrook Pioneer Ltd.,"Bridges, Roads &amp; Highways
Civil Engineering
Environmental Assessment
Green
Land Use Planning
Low Rise Residential
Residential
Water Resources Management","Area: 160 acres
Completed: Ongoing",Mel Johnson: Director,"Making green living possible for eco-conscious families, Greenbury is a brownstone community, planned and designed by IBI Group, that incorporates wind power, wetlands, energy efficient homes, LED street lighting, recycled materials and native plant species."
GM Milford Data Center,"Milford, MI",General Motors Corporation,"Architecture
Automotive
Engineering
Environmental Assessment
Green
Interiors
Office","LEED: Gold
Status: Ongoing","Todd Hoisington: Director | US Industrial Lead, Buildings","IBI Group provided architectural and engineering services for General Motors' newly consolidated critical data center featuring 130,000 square feet of data halls and support space. "
Parq Vancouver,"Vancouver, BC",Paragon Developments,"Architecture
BIM / 3D Visualization
Entertainment Centre
Green
Hospitality
Hotels &amp; Resorts
Mixed Use","LEED: Gold
Size: 800,000 sq ft
Completed: 2017","Jeff Christianson: Director | Sr. Practice Lead, Architecture","Set in the heart of downtown Vancouver, Parq Vancouver has become an international entertainment destination featuring two luxury hotels, a casino, numerous restaurants and lounges, convention facilities and more. Designed by IBI Group, the architectural expression is derived from its physical and cultural surroundings."
MBTA-Realtime,"Boston, MA",Massachusetts Bay Transportation Authority,"Implementation/Construction Phase Services
Information &amp; Communications Technology
Operations
Project / Programme Management
Software as a Service
Systems
Transportation",Status: Ongoing,"Carl-Henry Piel: Director | US Services Lead, Intelligence
Ritesh Warade: Director | US Operations Lead, Intelligence","IBI Group led the design, development and implementation of the MBTA-realtime system to manage service alerts, vehicle locations and arrival predictions for all its modes, including bus, subway, light rail and commuter rail. "
Durham Jones & Pinegar,"Salt Lake City, UT",Durham Jones & Pinegar,"Architecture
Interiors
Office",,"Peter Pillman: Director | US Mixed-Use Lead, Buildings","IBI Group provided architecture and interior design services for this respected law firm's new high-performance work environment, inside a recently completed signature high-rise in downtown Salt Lake City. "
Santa Clara/Alum Rock BRT,"Santa Clara Valley, CA",Santa Clara Valley Transportation Authority,"Architecture
Bus Rapid Transit
Engineering
Information &amp; Communications Technology
Planning &amp; Urban Design
Rail
Structural Engineering
Systems
Systems Integration
Transit Facilities
Transit Technology","Length: 20 Miles
Size: 28 Stations
Completed: 2013","Steve Schibuola: Director | Sr. Principal, Transportation Engineering
Don D. Murphy: Associate Director","IBI Group was responsible for leading station architecture, structural, urban, and technology design for this 7.2 mile, 21 station bus rapid transit (BRT) system providing limited-stop connection to downtown San Jose.  "
Concord Streetscape,"Concord, NH",City of Concord,Landscape Architecture,"Construction Cost: $12 million USD
Completed: 2016",,"IBI Group collaborated with project engineers and city stakeholders to study and redesign Concord's historic Main Street, drastically improving multi-modal accessibility and rejuvenating the city's retail and visitor environment.  "
Maritime Technology and Training Center,"La Porte, TX",San Jacinto College,"Architecture
Civil Engineering
Education
Electrical Engineering
Engineering
Higher Education
Interiors
Landscape Architecture
Learning+
Project / Programme Management
Site Development
Specialized Learning
Structural Engineering","Size: 67,000 sq ft
Completed: 2016","Robert Trabanino: Associate Principal | Education, Buildings
Sylvia Hajo: Sr. Associate Principal | Interior Design, Buildings","This unmistakable, 67,000 square foot training facility utilizes state-of-the-art technology and simulation labs to prepare a new generation of maritime professionals serving the Gulf Coast and beyond.  "
QEW Widening,"Burlington, ON",Ministry of Transportation Ontario,"Advanced Traffic Management System
Bridges, Roads &amp; Highways
Civil Infrastructure
Electrical Engineering
Planning &amp; Urban Design
Traffic Signals Design
Transportation",Completed: 2011,"Fouad Mustafa: Director, New Initiatives
Kevin Bebenek: Regional Director, Canada East
Anna Dybka: Director | Sr. Practice Lead, Intelligent Systems",This major highway expansion was the final of three widening projects on the QEW for the provision of high occupancy vehicle (HOV) lanes from Trafalgar Road to Guelph Line.  
88 Scott Street,"Toronto, ON",Concert Properties Ltd.,"Architecture
Heritage / Historic Preservation
High Rise Residential
Living+
Mixed Use
Office
Project / Programme Management
Residential
Retail","LEED: Gold
Size: 600,000 sq ft
Storeys: 58
Status: Ongoing",,This 53-storey mixed use development in the downtown Toronto core pays architectural homage to the original 1951 limestone design.  
Harbour Green Three,"Vancouver, BC",Aspac Developments Ltd.,"Architecture
BIM / 3D Visualization
Environmental Assessment
High Rise Residential
Interiors
Living+
Planning &amp; Urban Design
Project / Programme Management
Residential","Area: 41,010 sq ft
Storeys: 32
Status: Ongoing","Martin Bruckner: Director, Architect
Salim Kumar Narayanan: Director | Sr. Practice Lead, Architecture
Gwyn Vose: Director | Sr. Practice Lead, Architecture","IBI Group designed the latest phase of the Harbour Green Complex, completing development of the Coal Harbour community in downtown Vancouver. Fronting seven acres of waterfront park space, the development achieves its architectural excellence in response to this prominent site, as well as an attention to high quality material and design."
New York 511,"New York, NY",New York Department of Transportation,"New Projects
Software as a Service
Systems
Transit Alerts
TravelIQ
Traveller Information",Status: Ongoing,"Derek Sims: Global Director, Intelligence
Geoff Carter: Director | Sr. Practice Lead, Traveller Information Systems
Larry Baldwin: Associate Director - Practice Lead, Intelligent Systems","IBI Group has designed a state-of-the-art traffic system that provides users within the state of New York with real-time traffic reports on the web, phone or their mobile devices. "
BMW Spartanburg Manufacturing Plant — Paint Shop Expansion,"Spartanburg, SC","BMW Manufacturing Co., LLC","Architecture
Automotive
Civil Engineering
Electrical Engineering
Engineering
Industrial
Manufacturing
Mechanical Engineering
Structural Engineering
Water Resources Management","Expansion: 600,000 sq ft
Wastewater Building: 26,000 sq ft
Bays: 88
Completion: 2015","Todd Hoisington: Director | US Industrial Lead, Buildings",IBI Group provided architecture and engineering services for the expansion and modification of the existing Paint Shop building to accommodate production of a new X series Sport Activity Vehicles  at the BMW  Assembly Plant in Spartanburg South Carolina.
St. Albert Municipal Area Network Plan,"St. Albert, AB",The City of St. Albert,"Information &amp; Communications Technology
Policy &amp; Design Guidelines
Systems Engineering
Systems Integration
Transit Technology",Completed: 2016,"Bruno Peters: Deputy Regional Director, Canada West","Working in close collaboration with the City of St. Albert and its key stakeholders, IBI Group led the development of this municipal strategy to optimize information communication technology and transportation systems in support of their Smart City Master Plan.   "
"Boston Landing, New Balance World Headquarters","Boston, MA",Elkus Manfredi Architects,"Green
Hospitality
Hotels &amp; Resorts
Landscape Architecture
Mixed Use
Office
Parking
Placemaking",Status: Ongoing,"Chris Jones: Associate Director | Office Lead, Boston","Situated in a new, 14-acre, mixed-use neighborhood, and offering Class A office space, residential developments and high performance sporting facilities, New Balance's new urban campus will be headquartered in the heart of Boston's newest and most exciting community hub, Boston Landing.  "
Toronto Downtown Transportation Operations Study,"Toronto, ON",City of Toronto,"Public Outreach
Systems Engineering
Transportation Planning",Completed: 2014,"Ron Stewart: Deputy Regional Director, Canada East
Peter Richards: Associate Director | Practice Lead, Transportation Engineering
Matt Colwill: Associate Director | Practice Lead, Transportation Engineering","IBI Group was retained by the City of Toronto to investigate transportation operations issues within the downtown core, and develop near-term improvements that could increase the efficiency of the existing transportation network and #getTOmoving."
St. Patrick’s Island Park,"Calgary, AB","W Architecture and Landscape Architecture, Civitas Inc.","Approvals
Green
Landscape Architecture
Master Planning
Parks
Planning &amp; Urban Design","Area: 31 acres
Completed: 2014","Elvin Karpovich: Director, Planning and Landscape Architecture","IBI Group was part of the creative team that designed the revitalization of St. Patrick's Island Park. The variety of features, encounters and experiences integrated within the Park will engage visitors in the landscape, enabling them to see and understand the significance of the land and water, the natural systems, and how the Island lives."
City of Los Angeles Metro Detention Center,"Los Angeles, CA",City of Los Angeles,"Architecture
Civil Engineering
Detention Facilities
Electrical Engineering
Landscape Architecture
Mechanical Engineering
Structural Engineering","LEED: Silver
Completed: 2011","Kirk Shimazu: Associate Director | US Civic Lead, Buildings","This progressive, short-term holding center consists of a 512-bed central jail facility connected to a Los Angeles Police Property Division covering 179,000 square feet with required parking.  "
St. Wilfrid’s Hospice,"Eastbourne, UK",St Wilfrid’s Hospice,"Architecture
BIM / 3D Visualization
Healthcare
Healthcare+
Interiors
Project / Programme Management","Area: 3,600 sq m
Bedrooms: 20
Admitted in 2016: 316 patients
Completion: 2013","Denise Medcraff: Studio Principal
Pip Burrows: Interior Designer","St Wilfrid's Hospice is a registered charity providing care for adults with complex needs as they near the end of their lives. With an ever growing demand for its specialist services, a more spacious facility was required as a replacement for the hospice's existing Victorian home, doubling its capacity."
The Royal Atlantis – The Palm Dubai,"Dubai, UAE",Atlantis The Palm,"Approvals
Architecture
Hotels &amp; Resorts
Implementation/Construction Phase Services
Living+",Status: Ongoing,"Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Titka Seddighi: Associate Director | Practice Lead, Architecture
Jonathan Berg: Associate | Manager, Architecture","An instantly iconic addition to the breathtaking Palm Dubai resort community, The Royal Atlantis is an elegant, mixed-use environment consisting of high-end hotel suites sided with custom residential suites along with expansive public areas set against one of the world's most striking shorelines.  "
Dempsey E. Benton Water Treatment Plant,"Raleigh, NC",City of Raleigh,"Architecture
Civil Infrastructure
Green
Industrial
Mechanical Engineering
Municipal Services
Structural Engineering
Water / Wastewater","LEED: Silver
Completed: 2015",,"The flagship, 55-acre treatment site produces 20 million gallons of potable water every day utilizing the latest in processing and filtration systems.   "
District of Columbia Courts,"Washington, DC",District of Columbia,"Civic &amp; Government
Courts
Environmental Assessment
Green
Heritage / Historic Preservation
Project / Programme Management","LEED: Gold
Completed: 2012","Michael Kazan: Director | Senior Project Manager
Peter Boccia: Associate | Manager, Architecture
Val Vanchieri: Associate | Manager, Interior Design",IBI Group was selected by the District of Columbia to lead the master planning of their court facilities and restoration of the historical 410 E Street Court in preparation for housing their Court Mediation Program and IT Services Division.  
1 World Trade Center,"New York, NY",Infosys,"Architecture
Interiors
Office",,,"Working in collaboration with BVN Architecture, IBI Group acted as architect of record to create a new home for global consulting and IT leader Infosys, situated inside New York City's most important building. "
Binghamton University,"Binghamton, NY",Binghamton University,"Architecture
Education
Green
Higher Education
Learning+",,"Daniel Whelan: Associate Director | Principal, Education
Susan Christensen: Associate Director | Office Lead","Working in collaboration with this highly respected, post-secondary institution in upstate New York, IBI Group led the planning, expansion, and rehabilitation of four key environments within the Binghamton University campus.  "
Triplinx Regional Transit Trip Planner,"Greater Toronto and Hamilton Area, ON",Metrolinx,"Operations
Policy &amp; Design Guidelines
Research &amp; Development
Software as a Service
Systems
Systems Integration","Municipalities: 11+
Status: Ongoing","David Kamnitzer: Director | Sr. Practice Lead, Intelligent Systems
Kevin Bebenek: Regional Director, Canada East","IBI Group worked with Metrolinx in the development of a regional intelligent transportation system strategic plan, and the development of the ‘Triplinx' regional transit trip planner, the official information resource for the GTHA, helping travelers get from A to B."
620 10 Avenue SW,"Calgary, AB",bcIMC Investment Management Corporation,"Architecture
High Rise Residential
Hospitality
Hotels &amp; Resorts
Interiors
Master Planning
Mixed Use
Project / Programme Management
Residential","Area: 56,000 sq m
Towers: 2
Storeys: 33
Residential Units: 303
Hotel Suites: 390
Status: Ongoing","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Keith Sallaway: Director, Architect
Heidi Rose: Associate | Manager, Interior Design","620 10 Avenue SW is a 56,000 m2 mixed use development in the Beltline District just south of Calgary's Business District."
Cockermouth Community Hospital and Health Centre,"Cockermouth, UK",eLIFT Cumbria Ltd.,"Architecture
BIM / 3D Visualization
Green
Healthcare
Healthcare+
Project / Programme Management","BREEAM: Excellent
Area: 3,952 sq m 
Completed: 2013","John Knape: Frameworks Director
Justin Harris: Studio Principal","IBI Group designed the new Cockermouth Community Hospital and Health Centre, providing primary community health and social care for the Cockermouth Community. The new facility provides the best treatment and support close to people's own homes, while promoting collaborative work between the different departments through the use of flexible, multi-functional spaces. "
Miller Thomson LLP,"Toronto, ON",Miller Thomson LLP,"Interiors
Office
Strategic Planning",,,"Miller Thomson enlisted IBI Group's corporate interiors team to redesign their partial conference floor, and refresh five existing practice floors. Inspired by the client's need to re-energize their existing conference floor, incorporate new technology and attract new talent, IBI worked with Miller Thomson to bring a fresh and modern aesthetic that would better represent their corporate culture and new brand image."
Barnsley Town Centre Redevelopment,"Barnsley, UK","NPS Barnsley Ltd., Barnsley Metropolitan Borough Council","Architecture
BIM / 3D Visualization
Landscape Architecture
Library
Living+
Master Planning
Mixed Use
Placemaking
Planning &amp; Urban Design
Retail",Status: Ongoing,"Seamus Lennon: Studio Principal
David McKenna: Studio Associate Director","Our multidisciplinary design team is working on an ambitious project to transform and regenerate Barnsley's town centre, comprehensively redesigning the heart of the once industrial town."
Southend Queensway Masterplan,"Essex, UK",Southend-on-Sea Borough Council,"BIM / 3D Visualization
Landscape Architecture
Living+
Low Rise Residential
Master Planning
Mixed Use
New Projects
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Research &amp; Development
Residential","Start Date: 2015
Completion: 2018",,IBI Group was engaged by Southend-on-Sea Borough Council to masterplan the transformation of the Queensway Estate – a mixed-use but predominantly residential area located at a strategically important gateway to Southend's town centre.
Blacklick Creek Greenway Trail & Bridge,"Franklin County, OH",Columbus & Franklin County Metro Parks,"Bridge Engineering
Bridges, Roads &amp; Highways
Civil Engineering
Engineering
Transportation Engineering","Construction cost: $2.2 million
New trail segment: 1 mile
Bridge: 8 span
Status: Completed","Jeff Hackenbracht: Senior Project Manager
Jeffrey B. Koehn: Associate Director | US Transportation Lead, Infrastructure","The trail winds along 12 miles of Blacklick Creek, from Blacklick Woods Metro Park in Reynoldsburg, to Three Creeks Park. IBI Group designed a one-mile segment of the trail as well as an eight-span pre-fabricated pedestrian bridge over US 33 and Blacklick Creek."
"Home Today, Home Tomorrow","Memphis, TN",Re-Defining Home Design Challenge,"Architecture
Interiors
Landscape Architecture
Project / Programme Management
Residential
Seniors Communities",,,"In 2016, IBI Group claimed 1st prize in the ‘Re-defining Home: Home Today, Home Tomorrow' design challenge with our highly adaptable, age-friendly “Inter-Active Living” entry.  "
The San Francisco Shipyard/Candlestick Park,"San Francisco, CA",Fivepoint,"Bus Rapid Transit
Entertainment Centre
Mixed Use
Office
Parks
Placemaking
Residential
Retail
Transportation",,"David Thom: President
Stuart Jones: Director, Landscape Architect
Jeffrey Mok: Associate","This thriving masterplan provided 750 acres of prime San Francisco, mixed-used development, creating a series of interconnected, open-space neighbourhoods, and the architectural design of a collaborative studio space for North America's largest artist community. "
2010 Vancouver Olympics,"Vancouver, BC",Vancouver Olympic Organizing Committee (VANOC),"Landmark Events
Master Planning
Wayfinding &amp; Signage",,Gary Andrishak: Director,"Serving as Prime Consultant to the Vancouver Olympic Organizing Committee (VANOC), IBI Group led master planning, signage and wayfinding strategies as well as visual development for graphic installations at the 2010 Winter Olympic Games. "
Mason Corridor BRT,"Fort Collins, CO","City of Fort Collins, TransFort","Active Transportation
BIM / 3D Visualization
Bus Rapid Transit
Mobility+
Policy &amp; Design Guidelines
Public Outreach
Research &amp; Development
Systems Integration
Transit Facilities
Transit Technology
Transportation","Length: 5 miles
Size: 12 BRT stations
Completed: 2014",Salvatore Birritteri: Associate Director,"Located in northern Colorado, the Mason Corridor is a five-mile BRT connecting riders in Fort Collins, running from a downtown transit center and the Colorado State University Campus. As part of a team, IBI Group provided a wide range of services including final design for all 12 BRT stations, area planning and signage, transit operations, fare collection, feasibility studies, and BRT major investment study plans for the City."
DUKE Heights Economic Development Study,"Toronto, ON",DUKE Heights BIA,"Innovation Districts
Planning &amp; Urban Design",Completed: 2016,"Robyn Brown: Associate | Manager, Planning","Working in partnership with Toronto's only industrial BIA, IBI Group was tasked with delivering an economic development study identifying new employment opportunities and future growth areas for the DUKE Heights Business Improvement Area (DHBIA). "
The Shores,"Oakville, ON","Cityzen, Fernbrook Developments","High Rise Residential
Living+
Residential","Size: 295,000 sq ft
Units: 220
Completed: 2013","Henry Burstyn: Director | Sr. Practice Lead, Architecture
Sol Wassermuhl: Director","Located in the Oakville neighbourhood of Bronte, luxury condominium complex The Shores offers a serene, lakeside view and walkable access to downtown amenities. IBI's design of this destination residence has set a new standard for mixed-use developments along the Oakville waterfront. "
Sheffield/Rotherham Advanced Manufacturing Innovation District,"Sheffield, UK",Peel Group and Harworth plc,"Education
Industrial
Innovation Districts
Living+
Manufacturing
New Projects
Placemaking
Policy &amp; Design Guidelines
Retail
Spatial Intelligence",,Guy Pearson: Studio Director,IBI Group led a team of planning and transportation consultants in developing a vision for the development of an Innovation District anchored around Sheffield and Rotherham's Advanced Manufacturing Park.
Exposition Park Regional Branch Library,"Los Angeles, CA","City of Los Angeles, Public Works Department Bureau of Engineering","Architecture
Civic &amp; Government
Library
Parks","LEED: LEED®-NC Certification Gold
Size: 14,500 sq ft
Completion: 2008","Kirk Shimazu: Associate Director | US Civic Lead, Buildings",IBI Group was awarded this new library based on its past experience and recognition after successfully completing two libraries as part of the Los Angeles Library Bond Program.
Selfhelp Community Services KVII,"New York, NY",Selfhelp Community Services,"Architecture
Interiors
Seniors Communities","Area: 92,700 sq ft
Completed: 2013",,"This 15-story, 92-unit residence is intuitively designed and technologically enabled for empowered senior living, classified as a Non-Profit Residence for the Elderly (NPRE) under NYC Zoning Code."
Dr. Kirk Lewis Career & Technical High School,"Houston, TX",Pasadena I.S.D.,"Education
K-12 Education
Learning+
Specialized Learning","Size: 270,501 sq ft
Completed: 2014","Sylvia Hajo: Sr. Associate Principal | Interior Design, Buildings","This flagship addition to the Pasadena Independent School District is a 270,501 square foot, state-of-the-art facility offering the best pre-professional curriculum in the region.  "
Outwood Wharf,"Salford, UK","Outwood Wharf Developments Ltd., H & J Martin","Approvals
Architecture
BIM / 3D Visualization
High Rise Residential
Living+
Master Planning
Mid Rise Residential
Residential","Buildings: 3
Apartment Residences: 246 
Storeys: 6, 8 & 18
Status: Ongoing",,"Outwood Wharf is a new residential development located between Salford Central railway station and the city's University Quarter, within easy walking distance of Manchester City Centre. IBI Group's design includes three-bedroom townhouses, one and two bed apartments and two bed duplex penthouses. "
Tanger Kanata Outlet,"Ottawa, ON",RioCan,"Landscape Architecture
Planning &amp; Urban Design","Phase 1 Construction Value: $6.5 million
Area: 20 ha
Completed: 2014","Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","Tanger and RioCan retained IBI Group to work with New York architect, Create, to envision a contemporary commercial landscape for the Ottawa area that would become a regional shopping destination."
Healthy New Towns,"Country-wide, UK",NHS England,"Architecture
Environmental Assessment
Healthy New Towns
Master Planning
Planning &amp; Urban Design
Research &amp; Development",Completed: 2017,Justin Harris: Studio Principal,"Working in partnership with National Health Services (NHS) England, we're exploring the relationship between design and community well-being, and rethinking the way we approach healthcare services through the built environment."
CN Tower Plaza,"Toronto, ON",Graham Infrastructure Ltd.,"Architecture
Design Build
Landscape Architecture
Living+
Placemaking
Planning &amp; Urban Design","CN Tower Plaza: 9,915 sq m
Front Street Access: 2,110 sq m
Completed: 2013","Trevor McIntyre: Regional Director, UK/Ireland & International
Neno Kovacevic: Associate Director | Practice Lead, Urban Design / Landscape Architecture","IBI Group, working with Graham Infrastructure, won the design competition for the re-design of the public realm at the base of Toronto's CN Tower, the CLC Front Street access  revitalization and the public space connecting the Entertainment District BIA south to Bremner Boulevard."
